"From";"To";"ID 5720 - PM1";"ID 5720 - PM2.5";"ID 5720 - PM10"
"00:00 10/04";"01:00 10/04";"9";"12";"14"
"01:00 10/04";"02:00 10/04";"8";"11";"12"
"02:00 10/04";"03:00 10/04";"8";"11";"12"
"03:00 10/04";"04:00 10/04";"6";"8";"9"
"04:00 10/04";"05:00 10/04";"4";"6";"7"
"05:00 10/04";"06:00 10/04";"5";"6";"7"
"06:00 10/04";"07:00 10/04";"5";"7";"8"
"07:00 10/04";"08:00 10/04";"4";"5";"6"
"08:00 10/04";"09:00 10/04";"3";"4";"4"
"09:00 10/04";"10:00 10/04";"3";"5";"5"
"10:00 10/04";"11:00 10/04";"5";"6";"7"
"11:00 10/04";"12:00 10/04";"4";"6";"7"
"12:00 10/04";"13:00 10/04";"3";"4";"5"
"13:00 10/04";"14:00 10/04";"2";"2";"3"
"14:00 10/04";"15:00 10/04";"3";"4";"5"
"15:00 10/04";"16:00 10/04";"3";"4";"4"
"16:00 10/04";"17:00 10/04";"0";"0";"0"
"17:00 10/04";"18:00 10/04";"0";"0";"0"
"18:00 10/04";"19:00 10/04";"1";"1";"1"
"19:00 10/04";"20:00 10/04";"1";"2";"2"
"20:00 10/04";"21:00 10/04";"2";"2";"3"
"21:00 10/04";"22:00 10/04";"3";"4";"5"
"22:00 10/04";"23:00 10/04";"7";"8";"10"
"23:00 10/04";"00:00 11/04";"9";"12";"13"
"00:00 11/04";"01:00 11/04";"10";"13";"15"
"01:00 11/04";"02:00 11/04";"10";"13";"15"
"02:00 11/04";"03:00 11/04";"8";"11";"12"
"03:00 11/04";"04:00 11/04";"8";"10";"12"
"04:00 11/04";"05:00 11/04";"8";"10";"12"
"05:00 11/04";"06:00 11/04";"8";"10";"11"
"06:00 11/04";"07:00 11/04";"8";"10";"12"
"07:00 11/04";"08:00 11/04";"7";"9";"10"
"08:00 11/04";"09:00 11/04";"7";"9";"11"
"09:00 11/04";"10:00 11/04";"8";"9";"11"
"10:00 11/04";"11:00 11/04";"6";"8";"9"
"11:00 11/04";"12:00 11/04";"6";"7";"8"
"12:00 11/04";"13:00 11/04";"5";"6";"7"
"13:00 11/04";"14:00 11/04";"5";"6";"6"
"14:00 11/04";"15:00 11/04";"4";"5";"5"
"15:00 11/04";"16:00 11/04";"3";"4";"4"
"16:00 11/04";"17:00 11/04";"3";"4";"4"
"17:00 11/04";"18:00 11/04";"3";"3";"4"
"18:00 11/04";"19:00 11/04";"3";"3";"4"
"19:00 11/04";"20:00 11/04";"3";"3";"4"
"20:00 11/04";"21:00 11/04";"3";"4";"4"
"21:00 11/04";"22:00 11/04";"3";"4";"4"
"22:00 11/04";"23:00 11/04";"4";"5";"6"
"23:00 11/04";"00:00 12/04";"5";"6";"7"
"00:00 12/04";"01:00 12/04";"5";"6";"7"
