From;To;ID 5720 - PM1;ID 5720 - PM2.5;ID 5720 - PM10
00:00 12/06;01:00 12/06;5;6;12
01:00 12/06;02:00 12/06;3;4;9
02:00 12/06;03:00 12/06;3;4;8
03:00 12/06;04:00 12/06;3;4;8
04:00 12/06;05:00 12/06;3;4;8
05:00 12/06;06:00 12/06;4;5;10
06:00 12/06;07:00 12/06;4;5;11
07:00 12/06;08:00 12/06;4;5;11
08:00 12/06;09:00 12/06;5;7;13
09:00 12/06;10:00 12/06;5;7;14
10:00 12/06;11:00 12/06;4;6;11
11:00 12/06;12:00 12/06;4;6;11
12:00 12/06;13:00 12/06;5;6;12
13:00 12/06;14:00 12/06;4;6;11
14:00 12/06;15:00 12/06;5;6;12
15:00 12/06;16:00 12/06;3;4;9
16:00 12/06;17:00 12/06;2;3;6
17:00 12/06;18:00 12/06;3;3;7
18:00 12/06;19:00 12/06;3;4;8
19:00 12/06;20:00 12/06;3;4;8
20:00 12/06;21:00 12/06;3;4;7
21:00 12/06;22:00 12/06;4;5;9
22:00 12/06;23:00 12/06;6;7;15
23:00 12/06;00:00 13/06;6;7;15
00:00 13/06;01:00 13/06;5;7;14
01:00 13/06;02:00 13/06;5;6;12
02:00 13/06;03:00 13/06;5;6;12
03:00 13/06;04:00 13/06;4;6;12
04:00 13/06;05:00 13/06;3;4;9
05:00 13/06;06:00 13/06;3;4;9
06:00 13/06;07:00 13/06;3;4;9
07:00 13/06;08:00 13/06;4;5;10
08:00 13/06;09:00 13/06;3;4;8
09:00 13/06;10:00 13/06;3;4;8
10:00 13/06;11:00 13/06;3;4;9
11:00 13/06;12:00 13/06;3;4;9
12:00 13/06;13:00 13/06;4;5;10
13:00 13/06;14:00 13/06;4;5;11
14:00 13/06;15:00 13/06;5;6;12
15:00 13/06;16:00 13/06;5;6;11
16:00 13/06;17:00 13/06;5;6;11
17:00 13/06;18:00 13/06;5;7;13
18:00 13/06;19:00 13/06;4;5;10
19:00 13/06;20:00 13/06;0;0;0
20:00 13/06;21:00 13/06;0;1;1
21:00 13/06;22:00 13/06;2;3;6
22:00 13/06;23:00 13/06;7;8;17
23:00 13/06;00:00 14/06;9;11;22
00:00 14/06;01:00 14/06;8;10;21
01:00 14/06;02:00 14/06;8;10;21
02:00 14/06;03:00 14/06;8;10;19
03:00 14/06;04:00 14/06;8;10;20
04:00 14/06;05:00 14/06;8;10;20
05:00 14/06;06:00 14/06;7;9;19
06:00 14/06;07:00 14/06;9;11;22
07:00 14/06;08:00 14/06;8;10;21
08:00 14/06;09:00 14/06;10;13;27
09:00 14/06;10:00 14/06;10;14;29
10:00 14/06;11:00 14/06;9;12;24
11:00 14/06;12:00 14/06;8;11;22
12:00 14/06;13:00 14/06;8;11;22
13:00 14/06;14:00 14/06;8;10;20
14:00 14/06;15:00 14/06;7;9;19
15:00 14/06;16:00 14/06;2;3;6
16:00 14/06;17:00 14/06;0;0;0
17:00 14/06;18:00 14/06;0;0;0
