,Project Time (Interval end) (UTC0),NO PreScaled ppb,NO Scaled ppb,NO2 PreScaled ppb,NO2 Scaled ppb,NOx PreScaled ppb,NOx Scaled ppb,O3 PreScaled ppb,O3 Scaled ppb,Pressure mbar,Humidity %RH,Temperature C
0,2022-04-09 12:00:00,0.68,0.68,15.94,15.94,18.87,18.87,31.4,31.4,999.6,44.33,25.93
1,2022-04-09 13:00:00,0.68,0.68,20.31,20.31,20.99,20.99,30.48,30.48,999.05,46.38,26.03
2,2022-04-09 14:00:00,0.77,0.77,19.84,19.84,20.61,20.61,27.65,27.65,998.13,45.68,25.88
3,2022-04-09 15:00:00,0.84,0.84,21.14,21.14,21.97,21.97,28.72,28.72,997.45,47.38,25.35
4,2022-04-09 16:00:00,0.92,0.92,24.09,24.09,25.01,25.01,27.46,27.46,997.25,48.0,24.6
5,2022-04-09 17:00:00,1.18,1.18,31.49,31.49,32.67,32.67,26.48,26.48,997.63,53.65,23.2
6,2022-04-09 18:00:00,1.75,1.75,46.05,46.05,47.8,47.8,25.89,25.89,998.08,62.38,20.25
7,2022-04-09 19:00:00,39.17,39.17,52.37,52.37,91.53,91.53,13.6,13.6,998.3,64.38,18.7
8,2022-04-09 20:00:00,59.25,59.25,51.74,51.74,110.99,110.99,7.84,7.84,998.48,63.75,17.78
9,2022-04-09 21:00:00,59.26,59.26,46.09,46.09,105.35,105.35,7.44,7.44,998.3,64.33,17.2
10,2022-04-09 22:00:00,46.29,46.29,43.52,43.52,89.81,89.81,5.92,5.92,998.43,64.3,16.95
11,2022-04-09 23:00:00,34.5,34.5,39.18,39.18,73.68,73.68,5.56,5.56,998.1,63.83,17.0
12,2022-04-10 00:00:00,42.45,42.45,35.19,35.19,77.64,77.64,6.01,6.01,998.33,63.43,16.8
13,2022-04-10 01:00:00,18.5,18.5,24.07,24.07,42.57,42.57,11.61,11.61,998.08,62.08,15.85
14,2022-04-10 02:00:00,18.73,18.73,21.77,21.77,40.49,40.49,11.21,11.21,998.08,61.88,15.23
15,2022-04-10 03:00:00,29.71,29.71,27.29,27.29,57.01,57.01,9.83,9.83,997.58,62.23,14.85
16,2022-04-10 04:00:00,32.25,32.25,28.59,28.59,60.84,60.84,7.54,7.54,997.68,61.58,15.03
17,2022-04-10 05:00:00,17.26,17.26,13.51,13.51,30.77,30.77,17.92,17.92,997.95,53.58,15.48
18,2022-04-10 06:00:00,15.37,15.37,11.6,11.6,26.97,26.97,19.34,19.34,997.38,49.7,16.6
19,2022-04-10 07:00:00,16.04,16.04,18.22,18.22,34.26,34.26,15.34,15.34,997.45,50.38,17.4
20,2022-04-10 08:00:00,10.15,10.15,17.49,17.49,27.64,27.64,16.47,16.47,998.1,54.05,18.38
21,2022-04-10 09:00:00,7.4,7.4,16.61,16.61,24.01,24.01,14.24,14.24,997.6,47.98,20.43
22,2022-04-10 10:00:00,2.04,2.04,8.55,8.55,10.6,10.6,24.45,24.45,996.85,40.9,23.28
23,2022-04-10 11:00:00,1.35,1.35,8.08,8.08,9.43,9.43,24.56,24.56,996.2,35.25,25.65
24,2022-04-10 12:00:00,1.13,1.13,9.53,9.53,10.66,10.66,40.61,40.61,996.28,40.5,24.25
