,NO2 (ppb),O3 (ppb),Humidity (%),Temp (C),windspeed,direction,wind direction
2022-05-13 12:00:00,15.67,43.97,43.93,27.63,1.46,68.0,E
2022-05-13 13:00:00,13.77,46.23,37.98,27.63,2.98,72.62,E
2022-05-13 14:00:00,13.21,48.69,38.15,27.4,5.81,71.18,E
2022-05-13 15:00:00,15.3,49.38,38.43,27.23,6.98,57.97,NE
2022-05-13 16:00:00,16.49,49.66,37.83,26.78,6.23,56.73,NE
2022-05-13 17:00:00,26.05,46.38,41.93,25.83,5.65,52.05,NE
2022-05-13 18:00:00,25.64,41.31,44.13,24.5,5.29,53.52,NE
2022-05-13 19:00:00,37.66,31.71,46.73,24.0,4.09,65.13,NE
2022-05-13 20:00:00,38.59,31.57,55.55,23.25,2.02,206.38,SW
2022-05-13 21:00:00,26.81,36.28,60.63,21.78,1.08,184.17,S
2022-05-13 22:00:00,22.75,31.77,57.98,21.2,0.92,131.65,SE
2022-05-13 23:00:00,20.32,32.38,58.73,20.6,1.76,111.63,E
2022-05-14 00:00:00,30.56,22.48,62.4,19.53,0.92,107.68,E
2022-05-14 01:00:00,28.22,19.71,62.63,18.73,0.95,191.03,S
2022-05-14 02:00:00,28.07,16.95,60.78,18.68,0.45,263.72,CALM
2022-05-14 03:00:00,34.12,15.1,63.98,18.35,0.13,244.0,CALM
2022-05-14 04:00:00,41.34,13.82,63.0,17.7,0.36,244.0,CALM
2022-05-14 05:00:00,35.66,13.15,61.73,18.63,0.62,250.87,W
2022-05-14 06:00:00,22.12,21.7,56.63,21.7,0.84,253.83,W
2022-05-14 07:00:00,11.78,32.47,53.33,23.35,0.65,249.87,W
2022-05-14 08:00:00,12.79,34.44,50.38,24.3,1.14,113.77,SE
2022-05-14 09:00:00,14.02,36.41,47.95,25.95,1.71,64.63,NE
2022-05-14 10:00:00,13.86,40.25,46.58,26.53,1.89,71.85,E
2022-05-14 11:00:00,16.81,46.85,47.85,27.2,2.51,60.62,NE
2022-05-14 12:00:00,16.62,46.7,47.48,28.0,2.91,69.22,E
2022-05-14 13:00:00,20.02,45.05,46.83,27.25,3.46,73.27,E
2022-05-14 14:00:00,17.56,47.74,44.48,27.55,4.11,74.73,E
2022-05-14 15:00:00,36.71,49.57,53.73,25.48,3.34,83.75,E
2022-05-14 16:00:00,92.68,19.88,75.83,21.65,4.83,74.45,E
2022-05-14 17:00:00,66.15,15.31,76.73,21.55,2.6,171.78,S
2022-05-14 18:00:00,62.23,12.21,76.18,20.98,0.57,256.47,W
