,NO2 (ppb),O3 (ppb),Humidity (%),Temp (C)
count,3552.0,3552.0,3552.0,3552.0
mean,28.6044650900901,32.830018299549614,57.03787162162125,25.21726351351334
std,15.307771573713488,17.280482102919606,13.946461415233832,6.459531846501328
min,0.73,0.01,22.5,6.7
25%,17.905,18.795,46.43,21.2
50%,26.55,31.6,56.25,25.84
75%,36.4825,46.0375,67.185,29.9575
max,104.77,86.68,89.58,39.05
kurtosis,1.5744629574636062,-0.8019455434467417,-0.5996842679235717,-0.22478092212035783
skew,1.0148663149284285,0.2286034492437098,0.1369710127784028,-0.4610161403704662
