Datetime,NO2 (ppb),O3 (ppb),Humidity (%),Temp (C)
2022-04-10 01:00:00,24.07,11.61,62.08,15.85
2022-04-10 02:00:00,21.77,11.21,61.88,15.23
2022-04-10 03:00:00,27.29,9.83,62.23,14.85
2022-04-10 04:00:00,28.59,7.54,61.58,15.03
2022-04-10 05:00:00,13.51,17.92,53.58,15.48
2022-04-10 06:00:00,11.6,19.34,49.7,16.6
2022-04-10 07:00:00,18.22,15.34,50.38,17.4
2022-04-10 08:00:00,17.49,16.47,54.05,18.38
2022-04-10 09:00:00,16.61,14.24,47.98,20.43
2022-04-10 10:00:00,8.55,24.45,40.9,23.28
2022-04-10 11:00:00,8.08,24.56,35.25,25.65
2022-04-10 12:00:00,9.53,40.61,40.5,24.25
2022-04-10 13:00:00,20.59,38.13,62.28,18.0
2022-04-10 14:00:00,18.06,33.23,68.05,14.43
2022-04-10 15:00:00,15.87,25.25,67.1,11.93
2022-04-10 16:00:00,11.4,25.3,65.1,11.38
2022-04-10 17:00:00,7.29,25.18,63.9,10.63
2022-04-10 18:00:00,5.74,25.12,64.55,9.5
2022-04-10 19:00:00,6.49,27.03,60.9,9.58
2022-04-10 20:00:00,1.78,30.02,59.23,9.6
2022-04-10 21:00:00,1.08,30.62,59.38,9.48
2022-04-10 22:00:00,1.26,29.79,59.55,9.35
2022-04-10 23:00:00,1.28,30.54,58.3,9.3
2022-04-11 00:00:00,1.23,32.02,56.23,9.4
2022-04-11 01:00:00,0.89,33.2,54.48,9.5
2022-04-11 02:00:00,0.73,33.39,54.28,9.53
2022-04-11 03:00:00,0.88,32.78,54.88,9.45
2022-04-11 04:00:00,1.53,32.06,54.55,9.43
2022-04-11 05:00:00,2.65,31.27,53.8,9.5
2022-04-11 06:00:00,3.77,30.09,52.4,10.05
2022-04-11 07:00:00,2.9,30.16,49.53,11.23
2022-04-11 08:00:00,2.97,31.99,45.8,12.7
2022-04-11 09:00:00,3.39,33.17,42.6,14.18
2022-04-11 10:00:00,3.4,35.38,39.9,15.58
2022-04-11 11:00:00,3.56,37.81,38.25,16.15
2022-04-11 12:00:00,4.42,38.45,36.35,16.93
2022-04-11 13:00:00,4.55,40.92,34.53,17.68
2022-04-11 14:00:00,4.83,42.67,33.55,17.53
2022-04-11 15:00:00,5.13,43.46,32.63,17.1
2022-04-11 16:00:00,5.13,44.07,31.43,16.83
2022-04-11 17:00:00,4.89,43.85,32.1,16.03
2022-04-11 18:00:00,5.27,41.71,32.78,14.98
2022-04-11 19:00:00,5.24,40.33,34.0,13.88
2022-04-11 20:00:00,4.89,39.48,35.63,13.13
2022-04-11 21:00:00,5.03,36.77,37.33,12.33
2022-04-11 22:00:00,6.05,34.22,38.83,11.35
2022-04-11 23:00:00,3.83,35.84,40.3,10.6
2022-04-12 00:00:00,3.26,37.34,40.1,10.28
2022-04-12 01:00:00,2.42,38.36,39.5,10.13
2022-04-12 02:00:00,1.73,37.87,40.43,9.63
2022-04-12 03:00:00,11.04,29.69,42.5,8.93
2022-04-12 04:00:00,29.62,18.59,45.83,7.9
2022-04-12 05:00:00,40.39,14.62,49.1,7.28
2022-04-12 06:00:00,19.34,24.87,45.05,9.48
2022-04-12 07:00:00,9.33,30.47,39.28,13.0
2022-04-12 08:00:00,15.56,23.8,39.78,14.73
2022-04-12 09:00:00,9.76,30.37,35.53,16.33
2022-04-12 10:00:00,6.05,37.59,30.63,18.35
2022-04-12 11:00:00,6.52,38.23,29.88,19.85
2022-04-12 12:00:00,7.11,44.03,32.33,19.98
2022-04-12 13:00:00,9.2,43.96,33.6,19.25
2022-04-12 14:00:00,9.35,46.9,36.15,18.95
2022-04-12 15:00:00,11.41,46.06,44.75,17.75
2022-04-12 16:00:00,16.82,42.78,46.35,16.88
2022-04-12 17:00:00,15.93,39.3,48.73,15.75
2022-04-12 18:00:00,17.33,36.26,47.95,14.83
2022-04-12 19:00:00,28.6,26.66,51.45,13.33
2022-04-12 20:00:00,23.23,27.66,54.35,11.8
2022-04-12 21:00:00,19.26,28.49,55.5,11.23
2022-04-12 22:00:00,16.07,31.39,56.15,10.95
2022-04-12 23:00:00,10.79,34.19,57.65,10.75
2022-04-13 00:00:00,11.16,31.45,58.78,10.18
2022-04-13 01:00:00,12.92,25.37,60.7,9.45
2022-04-13 02:00:00,16.84,21.79,63.4,8.98
2022-04-13 03:00:00,30.22,14.5,66.3,8.23
2022-04-13 04:00:00,42.4,8.56,68.7,7.75
2022-04-13 05:00:00,49.64,6.23,70.63,7.75
2022-04-13 06:00:00,40.48,5.64,69.08,9.93
2022-04-13 07:00:00,29.96,8.34,62.35,13.53
2022-04-13 08:00:00,20.84,16.95,57.78,14.78
2022-04-13 09:00:00,13.27,22.48,50.58,16.63
2022-04-13 10:00:00,8.1,32.3,47.75,17.8
2022-04-13 11:00:00,6.37,35.38,52.2,18.2
2022-04-13 12:00:00,9.76,34.94,55.2,18.55
2022-04-13 13:00:00,14.13,34.22,56.08,18.78
2022-04-13 14:00:00,8.12,37.87,53.73,18.1
2022-04-13 15:00:00,10.04,37.67,54.28,17.5
2022-04-13 16:00:00,9.41,38.07,54.28,17.45
2022-04-13 17:00:00,12.43,35.73,55.43,16.35
2022-04-13 18:00:00,15.48,34.19,57.2,15.1
2022-04-13 19:00:00,30.18,24.74,61.15,13.75
2022-04-13 20:00:00,41.42,16.41,65.43,12.6
2022-04-13 21:00:00,41.14,15.32,66.0,11.88
2022-04-13 22:00:00,40.44,12.71,68.25,11.1
2022-04-13 23:00:00,31.09,14.91,70.55,10.48
2022-04-14 00:00:00,20.07,18.04,72.23,9.9
2022-04-14 01:00:00,18.91,16.72,73.6,9.43
2022-04-14 02:00:00,21.8,13.91,74.88,9.13
2022-04-14 03:00:00,30.13,7.76,77.58,8.9
2022-04-14 04:00:00,40.85,4.89,78.68,8.4
2022-04-14 05:00:00,49.09,1.86,80.0,8.23
2022-04-14 06:00:00,42.56,4.5800470615895845,79.0,10.43
2022-04-14 07:00:00,30.13,5.8,72.08,13.23
2022-04-14 08:00:00,19.3,14.95,67.2,15.0
2022-04-14 09:00:00,14.18,20.19,62.7,16.43
2022-04-14 10:00:00,9.87,19.39,51.95,18.58
2022-04-14 11:00:00,5.83,30.77,46.43,20.0
2022-04-14 12:00:00,6.09,34.1,44.78,19.95
2022-04-14 13:00:00,6.97,37.47,46.08,19.75
2022-04-14 14:00:00,7.43,37.9,47.0,19.5
2022-04-14 15:00:00,9.68,40.91,48.6,19.05
2022-04-14 16:00:00,16.68,41.14,58.35,18.13
2022-04-14 17:00:00,23.82,35.06,63.7,17.15
2022-04-14 18:00:00,26.32,31.82,65.58,15.98
2022-04-14 19:00:00,43.97,18.7,67.78,14.95
2022-04-14 20:00:00,50.08,9.4,71.1,13.6
2022-04-14 21:00:00,44.4,8.92,73.85,12.68
2022-04-14 22:00:00,52.33,5.51,75.9,12.25
2022-04-14 23:00:00,52.57,4.64,77.53,11.8
2022-04-15 00:00:00,34.06,7.48,78.35,11.35
2022-04-15 01:00:00,31.74,5.55,79.53,10.93
2022-04-15 02:00:00,28.55,3.6,80.73,10.4
2022-04-15 03:00:00,32.21,2.43,81.23,9.95
2022-04-15 04:00:00,36.23,2.57,81.75,9.58
2022-04-15 05:00:00,40.17,4.007678109036659,82.9,9.5
2022-04-15 06:00:00,32.58,5.7768166190762384,82.58,11.35
2022-04-15 07:00:00,25.09,10.775360850628141,74.83,13.85
2022-04-15 08:00:00,25.06,19.040993286357644,67.98,16.0
2022-04-15 09:00:00,26.77,10.649444123691351,61.35,18.35
2022-04-15 10:00:00,13.61,8.46,48.68,21.2
2022-04-15 11:00:00,6.19,21.7,36.8,23.08
2022-04-15 12:00:00,7.35,32.2,36.6,23.68
2022-04-15 13:00:00,10.08,36.09,40.35,22.88
2022-04-15 14:00:00,9.69,40.38,40.9,21.83
2022-04-15 15:00:00,11.39,41.89,42.53,21.28
2022-04-15 16:00:00,12.79,40.17,38.2,21.08
2022-04-15 17:00:00,11.45,39.7,39.5,20.48
2022-04-15 18:00:00,48.84,22.44,45.63,19.13
2022-04-15 19:00:00,63.97,15.09,48.08,17.35
2022-04-15 20:00:00,59.8,12.78,51.23,16.05
2022-04-15 21:00:00,48.87,15.3,51.9,15.18
2022-04-15 22:00:00,48.68,14.64,53.33,14.65
2022-04-15 23:00:00,46.01,13.64,59.53,14.25
2022-04-16 00:00:00,36.06,9.66,68.08,13.7
2022-04-16 01:00:00,39.93,10.7,63.3,13.08
2022-04-16 02:00:00,29.49,13.56,59.08,12.65
2022-04-16 03:00:00,29.78,12.04,61.18,12.33
2022-04-16 04:00:00,33.38,12.2,62.25,12.13
2022-04-16 05:00:00,42.03,6.05,66.78,11.93
2022-04-16 06:00:00,38.56,4.38,65.58,12.55
2022-04-16 07:00:00,33.84,7.08,64.28,14.63
2022-04-16 08:00:00,25.21,10.01,61.93,16.35
2022-04-16 09:00:00,23.29,7.52,55.28,18.28
2022-04-16 10:00:00,10.07,17.98,45.08,21.2
2022-04-16 11:00:00,7.19,26.9,40.1,22.33
2022-04-16 12:00:00,8.54,29.41,37.28,22.43
2022-04-16 13:00:00,8.67,31.32,35.88,22.68
2022-04-16 14:00:00,9.97,37.83,39.08,22.23
2022-04-16 15:00:00,15.68,37.3,45.68,20.65
2022-04-16 16:00:00,25.46,31.83,48.4,20.15
2022-04-16 17:00:00,37.38,22.97,49.45,19.75
2022-04-16 18:00:00,45.51,19.01,52.5,18.58
2022-04-16 19:00:00,52.26,13.51,56.43,17.43
2022-04-16 20:00:00,55.16,17.11,63.33,16.75
2022-04-16 21:00:00,56.7,6.79,61.03,16.18
2022-04-16 22:00:00,38.32,9.05,58.85,15.95
2022-04-16 23:00:00,22.52,13.84,58.9,15.75
2022-04-17 00:00:00,22.79,11.97,57.08,15.63
2022-04-17 01:00:00,15.61,20.1,54.93,15.75
2022-04-17 02:00:00,4.96,31.98,60.0,15.18
2022-04-17 03:00:00,8.59,29.28,63.43,14.33
2022-04-17 04:00:00,10.45,26.45,69.4,13.63
2022-04-17 05:00:00,13.71,23.9,73.65,13.08
2022-04-17 06:00:00,14.39,23.85,74.45,13.13
2022-04-17 07:00:00,12.99,32.36,71.28,13.73
2022-04-17 08:00:00,12.93,26.4,70.05,14.3
2022-04-17 09:00:00,12.54,25.7,68.13,15.13
2022-04-17 10:00:00,11.51,26.61,68.33,15.18
2022-04-17 11:00:00,10.65,21.67,72.93,14.38
2022-04-17 12:00:00,14.28,16.7,77.1,13.68
2022-04-17 13:00:00,15.2,14.09,80.68,13.4
2022-04-17 14:00:00,15.04,16.0,81.65,12.9
2022-04-17 15:00:00,19.73,17.82,82.88,12.45
2022-04-17 16:00:00,14.5,14.6,83.98,12.1
2022-04-17 17:00:00,9.54,13.38,82.85,11.15
2022-04-17 18:00:00,12.51,10.15,84.78,10.53
2022-04-17 19:00:00,9.31,13.75,84.28,10.18
2022-04-17 20:00:00,8.99,12.64,83.3,9.6
2022-04-17 21:00:00,5.77,14.2,82.93,9.33
2022-04-17 22:00:00,5.59,12.44,82.48,9.23
2022-04-17 23:00:00,3.8,13.17,81.0,8.88
2022-04-18 00:00:00,2.98,12.71,79.83,8.7
2022-04-18 01:00:00,1.76,13.7,78.38,8.5
2022-04-18 02:00:00,2.68,13.63,78.05,8.15
2022-04-18 03:00:00,3.41,12.46,79.48,7.85
2022-04-18 04:00:00,6.28,10.92,80.4,7.65
2022-04-18 05:00:00,11.55,8.49,80.53,7.7
2022-04-18 06:00:00,12.94,9.06,80.03,7.88
2022-04-18 07:00:00,10.08,10.25,80.75,8.2
2022-04-18 08:00:00,10.09,10.36,80.38,8.8
2022-04-18 09:00:00,9.49,11.94,78.8,9.53
2022-04-18 10:00:00,7.07,14.1,75.65,10.93
2022-04-18 11:00:00,5.37,16.17,74.3,11.28
2022-04-18 12:00:00,5.15,17.56,74.45,11.33
