,temperature,humidity,pm_10,pm_2_5,pm_1_0,no2_ppb,co_μg/m3
2022-04-01 01:00:00,17.17,65.73,49.0,29.0,11.0,61.64,301.57
2022-04-01 02:00:00,16.53,67.01,49.0,28.0,11.0,61.64,270.92
2022-04-01 03:00:00,17.23,61.72,47.5,27.0,10.5,58.22,313.38
2022-04-01 04:00:00,17.13,61.54,56.0,33.0,13.0,58.22,340.54
2022-04-01 05:00:00,16.93,63.18,64.0,36.5,15.0,78.77,674.09
2022-04-01 06:00:00,17.42,65.27,62.0,36.0,14.0,68.49,504.97
2022-04-01 07:00:00,18.57,61.48,61.0,35.0,14.0,65.07,579.43
2022-04-01 08:00:00,20.41,55.0,66.0,39.0,15.0,65.07,680.0
2022-04-01 09:00:00,21.42,51.63,53.5,30.5,12.0,46.23,415.95
2022-04-01 10:00:00,21.48,51.47,268.0,174.0,83.0,51.37,418.42
2022-04-01 11:00:00,24.01,44.01,278.0,180.0,86.0,42.81,493.4
2022-04-01 12:00:00,24.5,38.0,155.0,99.0,46.0,41.1,456.29
2022-04-01 13:00:00,24.63,37.35,126.5,79.5,37.0,44.52,505.08
2022-04-01 14:00:00,22.14,51.38,152.0,97.0,45.0,82.19,473.23
2022-04-01 15:00:00,21.93,52.72,138.0,86.5,39.5,71.92,487.68
2022-04-01 16:00:00,20.84,56.94,116.0,72.0,32.0,78.77,425.27
2022-04-01 17:00:00,21.32,55.31,115.0,72.0,33.0,78.77,561.27
2022-04-01 18:00:00,20.64,48.2,98.0,61.0,28.0,58.22,477.14
2022-04-01 19:00:00,19.78,48.8,78.0,49.0,23.0,58.22,428.47
2022-04-01 20:00:00,19.56,46.99,80.0,51.0,23.0,54.79,383.68
2022-04-01 21:00:00,17.43,50.7,94.5,61.0,29.0,65.07,338.39
2022-04-01 22:00:00,17.68,47.39,84.0,54.0,26.0,58.22,379.42
2022-04-01 23:00:00,18.43,42.69,41.0,26.0,11.5,51.37,260.22
2022-04-02 00:00:00,18.25,42.57,48.0,31.0,14.0,51.37,233.29
2022-04-02 01:00:00,17.68,44.87,64.0,41.5,19.5,54.79,232.55
2022-04-02 02:00:00,16.92,47.32,87.0,57.0,27.0,58.22,225.16
2022-04-02 03:00:00,16.8,49.37,85.5,56.0,27.0,65.07,267.12
2022-04-02 04:00:00,14.73,56.43,80.0,52.0,25.0,68.49,305.5
2022-04-02 05:00:00,16.03,50.14,84.0,55.0,26.0,61.64,350.48
2022-04-02 06:00:00,18.3,39.07,75.0,49.0,23.0,47.95,212.95
2022-04-02 07:00:00,18.84,38.34,84.5,55.0,26.0,47.95,237.66
2022-04-02 08:00:00,20.12,34.16,44.0,29.0,13.0,44.52,215.32
2022-04-02 09:00:00,20.41,32.93,62.0,40.5,19.5,44.52,289.75
