,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ppb,no2_ppb,no2pluso3_ppb,co_μg/m3
2022-04-01 01:00:00,228.0,230.0,231.0,239.0,17.16889,65.7347,999.77246,49.0,29.0,11.0,260.0,-36.20045518959076,61.64383561643836,25.443380426847597,301.56511172159543
2022-04-01 02:00:00,228.0,231.0,232.0,239.0,16.52611,67.007164,999.239,49.0,28.0,11.0,233.0,-40.902649546957534,61.64383561643836,20.741186069480825,270.9188124336149
2022-04-01 03:00:00,228.0,230.0,231.5,237.5,17.232638,61.718965499999996,999.12895,47.5,27.0,10.5,270.0,-38.3690471078284,58.21917808219178,19.79645295658522,313.3760599836667
2022-04-01 04:00:00,229.0,231.0,232.0,239.0,17.128054,61.539986,998.2845,56.0,33.0,13.0,294.0,-36.01794992914502,58.21917808219178,22.201228153046763,340.543740124544
2022-04-01 05:00:00,228.0,236.0,232.0,239.5,16.9341655,63.182482500000006,997.77435,64.0,36.5,15.0,581.5,-62.37385665822134,78.76712328767124,12.49624253875552,674.0886624860345
2022-04-01 06:00:00,229.0,234.0,234.0,239.0,17.420002,65.27493,998.1159,62.0,36.0,14.0,437.0,-60.07643749731611,68.4931506849315,11.336797354747283,504.96605663443086
2022-04-01 07:00:00,229.0,233.0,233.0,238.0,18.57139,61.475544,997.4675,61.0,35.0,14.0,502.5,-49.70584446257568,65.06849315068493,13.795250568986983,579.4287565323987
2022-04-01 08:00:00,231.0,234.0,235.0,240.0,20.406109,55.003826,997.4286,66.0,39.0,15.0,594.0,-54.1997681109632,65.06849315068493,4.547601666165669,680.0022453530601
2022-04-01 09:00:00,229.5,228.0,234.0,237.5,21.423612,51.6315915,997.49333,53.5,30.5,12.0,363.5,-37.5993043328896,46.23287671232877,12.058229913685748,415.95286851648416
2022-04-01 10:00:00,228.0,228.0,232.0,239.0,21.479721,51.4659,996.7692,268.0,174.0,83.0,367.0,-29.383346931764514,51.369863013698634,21.98651608193412,418.42063819001754
2022-04-01 11:00:00,230.0,226.5,234.0,239.0,24.0075005,44.005087,996.4313199999999,278.0,180.0,86.0,436.0,-26.73272641387899,42.8082191780822,17.490445312835483,493.4033072360655
2022-04-01 12:00:00,228.0,226.0,231.0,236.0,24.499447,38.000324,995.6098,155.0,99.0,46.0,405.0,-20.685360930991546,41.09589041095891,21.771804010821487,456.29196177912604
2022-04-01 13:00:00,227.5,225.5,230.5,238.0,24.6275015,37.3515625,995.4169899999999,126.5,79.5,37.0,448.5,-12.52093442693349,44.52054794520548,32.90033065658951,505.07832667601747
2022-04-01 14:00:00,223.0,230.0,225.0,241.0,22.135553,51.3795,994.9188,152.0,97.0,45.0,416.0,-14.097994589255821,82.19178082191782,55.554601279683936,473.2257174414881
2022-04-01 15:00:00,227.0,232.5,230.0,247.5,21.927917,52.7197,994.68785,138.0,86.5,39.5,429.0,-20.250568986988455,71.91780821917808,52.82775797655344,487.684393553861
2022-04-01 16:00:00,226.0,234.0,231.0,246.0,20.84417,56.93693,994.5751,116.0,72.0,32.0,373.0,-31.783827886803813,78.76712328767124,46.983295400867426,425.26870223597155
2022-04-01 17:00:00,227.0,235.0,232.0,246.0,21.323332,55.308975,994.8446,115.0,72.0,33.0,493.0,-47.82281959891788,78.76712328767124,35.1698372482501,561.2733002026426
2022-04-01 18:00:00,227.0,229.0,231.0,240.0,20.641668,48.19534,995.21265,98.0,61.0,28.0,418.0,-27.55400008588483,58.21917808219178,30.66517799630695,477.1422793412796
2022-04-01 19:00:00,227.0,229.0,231.0,240.0,19.776114,48.795273,996.5066,78.0,49.0,23.0,374.0,-28.180959333533732,58.21917808219178,30.03821874865805,428.47030208757957
2022-04-01 20:00:00,227.0,229.0,231.0,240.0,19.55639,46.98679,997.1442,80.0,51.0,23.0,334.0,-29.56585219221025,54.79452054794521,31.712972903336624,383.67714972308397
2022-04-01 21:00:00,226.5,230.5,230.5,239.0,17.4344395,50.704170000000005,997.508085,94.5,61.0,29.0,292.5,-39.70026194872676,65.06849315068493,27.225490617082485,338.389387659415
2022-04-01 22:00:00,228.0,230.0,231.0,238.0,17.678055,47.39285,997.88574,84.0,54.0,26.0,328.0,-34.45055181002276,58.21917808219178,22.308584188603078,379.4230762622374
2022-04-01 23:00:00,227.5,227.0,231.0,237.0,18.427641,42.689439,998.5511799999999,41.0,26.0,11.5,225.5,-27.123502383304,51.369863013698634,24.28393524283935,260.2178411308871
