,Temp (C),Humidity (%),PM10 (ug/m3),PM2.5 (ug/m3),PM1 (ug/m3),NO2 (ppb),CO (μg/m3 10²)
2022-04-10 00:00:00,18.32,58.78,39.0,23.0,10.0,61.64,92.88
2022-04-10 01:00:00,16.8,60.04,33.5,20.0,9.0,58.22,49.21
2022-04-10 02:00:00,16.1,58.67,22.0,13.0,5.0,58.22,37.32
2022-04-10 03:00:00,16.63,56.95,30.5,19.0,8.0,61.64,48.01
2022-04-10 04:00:00,17.07,54.34,29.0,18.0,7.0,58.22,46.49
2022-04-10 05:00:00,18.41,40.14,18.5,11.0,4.0,39.38,29.3
2022-04-10 06:00:00,18.83,39.86,17.0,10.0,4.0,54.79,39.71
2022-04-10 07:00:00,19.43,40.24,22.0,13.0,5.0,58.22,49.91
2022-04-10 08:00:00,18.98,52.21,32.0,19.0,8.0,65.07,42.56
2022-04-10 09:00:00,22.52,36.82,25.0,15.0,6.5,35.96,53.65
2022-04-10 10:00:00,22.76,35.75,19.0,12.0,5.0,44.52,40.29
2022-04-10 11:00:00,24.28,28.67,9.5,5.5,2.0,22.26,33.42
2022-04-10 12:00:00,20.94,49.05,19.0,11.0,5.0,71.92,44.3
2022-04-10 13:00:00,15.81,79.36,31.0,18.5,7.0,85.62,39.65
2022-04-10 14:00:00,12.07,83.11,16.0,9.0,4.0,71.92,25.55
2022-04-10 15:00:00,12.09,71.02,3.0,2.0,0.0,58.22,24.26
2022-04-10 16:00:00,12.02,64.39,5.0,3.0,1.0,54.79,22.01
2022-04-10 17:00:00,10.29,67.63,7.0,4.0,1.0,54.79,21.29
2022-04-10 18:00:00,10.25,63.55,8.0,5.0,1.0,54.79,22.19
2022-04-10 19:00:00,10.65,57.04,15.0,8.5,3.5,47.95,21.04
2022-04-10 20:00:00,10.58,55.27,34.0,20.0,8.0,51.37,19.81
2022-04-10 21:00:00,10.48,56.16,46.0,28.0,11.5,51.37,19.77
2022-04-10 22:00:00,10.4,56.31,51.0,30.0,12.0,54.79,19.73
2022-04-10 23:00:00,10.5,53.76,50.5,30.5,12.0,51.37,18.89
2022-04-11 00:00:00,10.62,50.52,39.0,23.0,9.0,51.37,17.8
2022-04-11 01:00:00,10.67,48.62,39.0,24.0,9.5,51.37,17.39
2022-04-11 02:00:00,10.62,49.1,41.0,25.0,10.0,51.37,17.1
2022-04-11 03:00:00,10.52,49.87,40.0,24.0,10.0,54.79,17.9
2022-04-11 04:00:00,10.66,48.83,40.0,24.0,10.0,54.79,20.97
2022-04-11 05:00:00,10.64,48.28,36.5,22.0,9.0,54.79,22.07
2022-04-11 06:00:00,11.26,45.71,36.0,22.0,9.0,51.37,25.79
2022-04-11 07:00:00,11.99,42.7,34.0,21.0,9.0,51.37,23.56
2022-04-11 08:00:00,13.62,37.04,33.0,20.0,8.0,47.95,21.67
2022-04-11 09:00:00,15.14,34.63,27.0,17.0,7.0,44.52,25.22
2022-04-11 10:00:00,15.62,33.32,24.0,14.0,6.0,44.52,22.92
2022-04-11 11:00:00,16.17,31.35,21.0,13.0,5.5,46.23,24.09
2022-04-11 12:00:00,17.36,28.79,19.0,12.0,5.0,47.95,30.18
2022-04-11 13:00:00,17.43,27.56,16.5,10.0,4.0,49.66,27.5
2022-04-11 14:00:00,17.64,26.66,15.0,9.0,4.0,51.37,24.19
2022-04-11 15:00:00,17.59,25.27,14.0,9.0,4.0,51.37,26.18
2022-04-11 16:00:00,17.3,23.9,12.0,7.0,3.0,51.37,22.94
2022-04-11 17:00:00,16.44,25.47,13.0,8.0,3.0,54.79,23.83
2022-04-11 18:00:00,15.27,26.58,15.0,9.0,4.0,58.22,24.67
2022-04-11 19:00:00,14.44,27.95,15.0,9.0,4.0,58.22,23.51
2022-04-11 20:00:00,14.21,29.06,21.0,13.0,6.0,58.22,22.28
2022-04-11 21:00:00,13.22,31.87,25.5,16.0,7.0,58.22,25.22
2022-04-11 22:00:00,12.81,32.11,26.0,16.0,7.0,58.22,24.11
2022-04-11 23:00:00,11.97,33.84,21.0,13.0,5.5,58.22,20.69
2022-04-12 00:00:00,11.74,32.91,17.0,10.0,4.0,54.79,18.91
