,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ug/m3,no2_ug/m3,no2pluso3_ug/m3
2022-04-01 01:00:00,228.0,230.0,231.0,239.0,17.16889,65.7347,999.77246,49.0,29.0,11.0,301.56511172159543,-71.9457208569135,117.43277623147534,45.474904285336905
2022-04-01 02:00:00,228.0,231.0,232.0,239.0,16.52611,67.007164,999.239,49.0,28.0,11.0,270.9188124336149,-81.47606996360228,117.6879729308555,36.23491770780882
2022-04-01 03:00:00,228.0,230.0,231.5,237.5,17.232638,61.718965499999996,999.12895,47.5,27.0,10.5,313.3760599836667,-76.21858083128997,110.86334661400753,34.62532434607645
2022-04-01 04:00:00,229.0,231.0,232.0,239.0,17.128054,61.539986,998.2845,56.0,33.0,13.0,340.543740124544,-71.52422257557434,110.80619035365598,39.281967778081636
2022-04-01 05:00:00,228.0,236.0,232.0,239.5,16.9341655,63.182482500000006,997.77435,64.0,36.5,15.0,674.0886624860345,-124.02594310702372,149.96991744745782,18.729017713323202
2022-04-01 06:00:00,229.0,234.0,234.0,239.0,17.420002,65.27493,998.1159,62.0,36.0,14.0,504.96605663443086,-119.08494607696487,130.12586663259287,17.085353287636337
2022-04-01 07:00:00,229.0,233.0,233.0,238.0,18.57139,61.475544,997.4675,61.0,35.0,14.0,579.4287565323987,-98.17372015084476,123.1723561960512,21.9520369645604
2022-04-01 08:00:00,231.0,234.0,235.0,240.0,20.406109,55.003826,997.4286,66.0,39.0,15.0,680.0022453530601,-106.32844406383043,122.25005206406733,3.613143257351112
2022-04-01 09:00:00,229.5,228.0,234.0,237.5,21.423612,51.6315915,997.49333,53.5,30.5,12.0,415.95286851648416,-73.69753360848577,86.64554483029747,19.52165704586293
2022-04-01 10:00:00,228.0,228.0,232.0,239.0,21.479721,51.4659,996.7692,268.0,174.0,83.0,418.42063819001754,-57.40251576033649,96.18378622577357,37.967827008203045
2022-04-01 11:00:00,230.0,226.5,234.0,239.0,24.0075005,44.005087,996.4313199999999,278.0,180.0,86.0,493.4033072360655,-51.86179443704207,79.47745718433006,30.089025960707716
2022-04-01 12:00:00,228.0,226.0,231.0,236.0,24.499447,38.000324,995.6098,155.0,99.0,46.0,456.29196177912604,-39.93732997712,76.1159316030977,38.48023451906678
2022-04-01 13:00:00,227.5,225.5,230.5,238.0,24.6275015,37.3515625,995.4169899999999,126.5,79.5,37.0,505.07832667601747,-24.18148829802943,82.36114087295212,59.921795058680324
2022-04-01 14:00:00,223.0,230.0,225.0,241.0,22.135553,51.3795,994.9188,152.0,97.0,45.0,473.2257174414881,-27.482768258534602,153.48093290196235,101.58294979240542
2022-04-01 15:00:00,227.0,232.5,230.0,247.5,21.927917,52.7197,994.68785,138.0,86.5,39.5,487.684393553861,-39.47003107308717,134.0853842054554,97.20661737458133
2022-04-01 16:00:00,226.0,234.0,231.0,246.0,20.84417,56.93693,994.5751,116.0,72.0,32.0,425.26870223597155,-62.08874344248861,147.47399749262513,85.38525405013652
2022-04-01 17:00:00,227.0,235.0,232.0,246.0,21.323332,55.308975,994.8446,115.0,72.0,33.0,561.2733002026426,-93.44017348804807,147.28634959414183,62.74344084114391
2022-04-01 18:00:00,227.0,229.0,231.0,240.0,20.641668,48.19534,995.21265,98.0,61.0,28.0,477.1422793412796,-53.899458625127664,109.116735400542,55.23443213049122
2022-04-01 19:00:00,227.0,229.0,231.0,240.0,19.776114,48.795273,996.5066,78.0,49.0,23.0,428.47030208757957,-55.32647809322641,109.66969706908067,54.22219452291304
2022-04-01 20:00:00,227.0,229.0,231.0,240.0,19.55639,46.98679,997.1442,80.0,51.0,23.0,383.67714972308397,-58.197635891214254,103.37508282460959,57.30199327381711
2022-04-01 21:00:00,226.5,230.5,230.5,239.0,17.4344395,50.704170000000005,997.508085,94.5,61.0,29.0,338.389387659415,-78.4755899897925,123.63981724510396,48.31268876921459
2022-04-01 22:00:00,228.0,230.0,231.0,238.0,17.678055,47.39285,997.88574,84.0,54.0,26.0,379.4230762622374,-68.26375471450201,110.56657509659892,39.14429044279484
2022-04-01 23:00:00,227.5,227.0,231.0,237.0,18.427641,42.689439,998.5511799999999,41.0,26.0,11.5,260.2178411308871,-53.638840229784584,97.36251369198197,43.939326235515594
2022-04-02 00:00:00,227.0,228.0,231.0,239.0,18.246943,42.5708,998.8099,48.0,31.0,14.0,233.29002882693283,-42.65576418816749,97.47115091570899,54.8153867275415
2022-04-02 01:00:00,227.0,228.0,230.0,240.0,17.679167,44.8663625,998.8739,64.0,41.5,19.5,232.5462878798429,-41.57302491500897,104.25886640908578,64.12606772979493
2022-04-02 02:00:00,227.0,229.0,231.0,240.0,16.924168,47.319256,998.9863,87.0,57.0,27.0,225.1620583104897,-52.90768884542371,110.93782413320054,58.02145627344773
2022-04-02 03:00:00,227.0,231.0,230.5,239.0,16.800415,49.3731025,999.3224749999999,85.5,56.0,27.0,267.11669107255346,-72.61033409235212,124.0908675849775,45.53908008065172
2022-04-02 04:00:00,227.0,232.0,231.0,240.0,14.731666,56.43316,1000.0032,80.0,52.0,25.0,305.5008278498835,-85.90192550467096,131.67731262379985,45.71580929015337
2022-04-02 05:00:00,229.0,232.5,233.5,240.5,16.025557,50.1392675,1000.51151,84.0,55.0,26.0,350.4755163009336,-84.88375115804436,118.0809021969107,36.107650325072186
2022-04-02 06:00:00,228.0,226.0,233.0,239.0,18.300556,39.07216,1000.864,75.0,49.0,23.0,212.95404050426396,-45.463658609069014,91.1057211055462,45.64206249647718
2022-04-02 07:00:00,227.0,226.5,231.0,237.0,18.843196,38.3383385,1000.839845,84.5,55.0,26.0,237.66094213453198,-45.470868737868784,91.12016965640339,45.64930091853461
2022-04-02 08:00:00,229.0,227.0,232.0,239.0,20.115835,34.160427,1001.2271,44.0,29.0,13.0,215.32108127743928,-32.438818948390995,84.03909830365019,54.78205854098151
2022-04-02 09:00:00,226.5,225.5,230.0,238.5,20.41236,32.92646,1001.4846,62.0,40.5,19.5,289.7542507013239,-25.456823159948506,84.0544285235926,60.11690265772789
2022-04-02 10:00:00,228.0,225.0,231.0,240.0,21.87,29.91436,1001.24304,86.0,57.0,27.0,248.93854628390025,-15.69123344719862,83.53470266820784,67.84346922100923
2022-04-02 11:00:00,225.5,226.0,228.5,239.5,21.6983345,30.7251255,1001.310875,57.0,36.5,17.0,301.5753192778001,-9.190466431608172,96.65443410637147,84.19245005121093
2022-04-02 12:00:00,226.0,227.0,230.0,241.0,21.51361,31.674452,1000.95953,55.0,36.0,16.0,326.20758926601377,-27.001928562117907,109.44784047373061,78.15539609331026
2022-04-02 13:00:00,225.5,228.0,229.5,242.5,21.394862000000003,33.9640435,1000.61703,106.5,69.0,32.5,290.19428557749677,-19.122845474106608,109.51171372289079,92.65485969789569
2022-04-02 14:00:00,226.0,235.0,229.0,248.0,18.708055,52.051052,1000.9079,128.0,83.0,40.0,359.39757283493697,-60.49734451428394,156.02626771221722,106.99294765338854
2022-04-02 15:00:00,227.0,231.5,232.0,244.0,18.4699995,50.937146999999996,1000.7102,152.5,99.5,46.5,390.7032190696813,-66.53431337996093,126.86453965611872,63.8449252171701
2022-04-02 16:00:00,227.0,228.0,232.0,241.0,19.098053,40.006783,1000.64386,100.0,66.0,32.0,255.00997977993603,-43.33488819273594,97.35656377506177,60.94967042610118
2022-04-02 17:00:00,226.0,230.0,230.0,243.0,18.185972,43.974488,1000.9802549999999,120.5,79.0,38.5,254.66479983752726,-47.348159615747974,123.68038089715103,74.84704444884088
2022-04-02 18:00:00,226.0,230.0,230.0,241.0,17.016947,45.185764,1001.7211,104.0,67.0,32.0,261.82261019757294,-53.30978657522367,117.77679138263959,64.31201523783577
2022-04-02 19:00:00,226.5,230.0,230.0,241.0,16.5741665,44.4238815,1002.348975,100.5,65.5,31.5,293.24337758481295,-61.37931322413124,118.0654487691944,58.20355367675879
2022-04-02 20:00:00,227.0,229.0,231.0,239.0,16.18111,43.077175,1002.9986,97.0,63.0,29.0,307.25402959900475,-72.47429490219521,118.28312920188458,45.80900134949313
