,Temp (C),Humidity (%),PM10 (ug/m3),PM2.5 (ug/m3),PM1 (ug/m3),CO (μg/m3 10²),NO2 (ppb),windspeed,direction,wind direction
2022-05-13 12:00:00,26.29,37.05,45.0,29.0,12.0,44.52,35.89,1.46,68.0,E
2022-05-13 13:00:00,26.74,34.42,42.5,26.0,11.0,41.1,39.31,2.98,72.62,E
2022-05-13 14:00:00,27.12,34.27,37.0,23.0,9.0,47.95,34.54,5.81,71.18,E
2022-05-13 15:00:00,26.91,34.05,37.5,22.5,10.0,51.37,35.94,6.98,57.97,NE
2022-05-13 16:00:00,26.69,33.46,36.0,22.0,9.0,54.79,40.99,6.23,56.73,NE
2022-05-13 17:00:00,25.03,41.68,41.0,25.5,11.0,73.63,52.22,5.65,52.05,NE
2022-05-13 18:00:00,24.69,40.25,46.0,29.0,12.0,71.92,50.58,5.29,53.52,NE
2022-05-13 19:00:00,24.76,42.52,59.0,36.0,15.0,70.21,55.35,4.09,65.13,NE
2022-05-13 20:00:00,23.61,60.03,69.0,42.0,18.0,89.04,51.25,2.02,206.38,SW
2022-05-13 21:00:00,22.01,61.96,58.0,35.0,15.0,71.92,41.95,1.08,184.17,S
2022-05-13 22:00:00,22.37,52.55,52.0,32.0,14.0,61.64,38.08,0.92,131.65,SE
2022-05-13 23:00:00,21.52,58.71,60.0,37.0,16.0,68.49,40.35,1.76,111.63,E
2022-05-14 00:00:00,20.03,63.08,59.0,36.0,15.0,68.49,55.95,0.92,107.68,E
2022-05-14 01:00:00,20.59,57.67,53.5,32.5,13.5,61.64,45.26,0.95,191.03,S
2022-05-14 02:00:00,20.4,56.3,53.0,32.0,14.0,61.64,42.68,0.45,263.72,CALM
2022-05-14 03:00:00,19.65,61.01,63.0,39.0,16.5,70.21,51.13,0.13,244.0,CALM
2022-05-14 04:00:00,19.18,60.26,54.0,33.0,14.0,71.92,54.39,0.36,244.0,CALM
2022-05-14 05:00:00,20.29,56.71,52.0,32.0,13.0,61.64,47.15,0.62,250.87,W
2022-05-14 06:00:00,21.44,57.43,68.0,42.0,18.0,61.64,39.97,0.84,253.83,W
2022-05-14 07:00:00,22.29,54.69,48.5,30.0,13.0,54.79,30.18,0.65,249.87,W
2022-05-14 08:00:00,23.6,49.63,45.0,28.0,12.0,51.37,33.31,1.14,113.77,SE
2022-05-14 09:00:00,24.61,47.16,46.5,28.5,12.0,51.37,33.87,1.71,64.63,NE
2022-05-14 10:00:00,25.28,45.92,51.0,31.0,13.0,47.95,38.2,1.89,71.85,E
2022-05-14 11:00:00,25.58,49.67,62.5,38.0,16.0,58.22,35.06,2.51,60.62,NE
2022-05-14 12:00:00,26.43,47.31,59.0,36.0,15.0,54.79,38.25,2.91,69.22,E
2022-05-14 13:00:00,26.2,45.53,52.0,32.0,14.0,53.08,32.44,3.46,73.27,E
2022-05-14 14:00:00,26.56,42.57,42.0,26.0,11.0,54.79,33.58,4.11,74.73,E
