Device;Datetime;"Dew Point (C)";"H2S GCC (ppb)";"Humidity ext (%)";"NO2 GCc (ppb)";"O3 GCc (ppb)";"Pressure (hPa)";"TSP (ug/m3)";"Temp ext (C)";
"K-A3 GRECiOT 1";2022-07-19 07:51:55;16,82;7,53;61,88;28,60;23,26;1018,60;23,19;24,61;
"K-A3 GRECiOT 1";2022-07-19 07:46:53;16,81;10,09;61,61;36,26;11,81;1018,49;15,44;24,68;
"K-A3 GRECiOT 1";2022-07-19 07:41:55;16,83;8,19;61,52;34,11;15,58;1018,48;18,81;24,72;
"K-A3 GRECiOT 1";2022-07-19 07:36:53;16,87;11,48;61,61;32,37;18,82;1018,38;36,57;24,74;
"K-A3 GRECiOT 1";2022-07-19 07:31:56;16,94;9,38;61,96;26,69;26,02;1018,36;16,02;24,72;
"K-A3 GRECiOT 1";2022-07-19 07:26:55;17,11;9,88;62,84;26,16;26,07;1018,37;13,87;24,67;
"K-A3 GRECiOT 1";2022-07-19 07:21:53;17,11;15,80;62,80;35,79;16,48;1018,37;16,00;24,68;
"K-A3 GRECiOT 1";2022-07-19 07:16:55;17,13;18,76;63,13;32,32;21,79;1018,41;16,00;24,61;
"K-A3 GRECiOT 1";2022-07-19 07:11:53;17,14;14,37;63,28;30,18;25,22;1018,34;10,69;24,58;
"K-A3 GRECiOT 1";2022-07-19 07:06:56;17,15;13,13;63,19;22,94;34,99;1018,30;12,27;24,61;
"K-A3 GRECiOT 1";2022-07-19 07:01:55;17,24;14,81;63,66;27,75;26,45;1018,26;12,79;24,58;
"K-A3 GRECiOT 1";2022-07-19 06:56:53;17,27;12,97;63,82;23,47;34,40;1018,22;13,16;24,58;
"K-A3 GRECiOT 1";2022-07-19 06:51:54;17,11;19,50;63,06;27,24;33,38;1018,18;12,32;24,61;
"K-A3 GRECiOT 1";2022-07-19 06:46:53;16,92;14,93;62,24;27,65;29,08;1018,26;12,34;24,63;
"K-A3 GRECiOT 1";2022-07-19 06:41:55;17,11;15,04;62,99;27,72;28,04;1018,14;9,48;24,63;
"K-A3 GRECiOT 1";2022-07-19 06:36:52;17,17;20,48;63,23;25,85;32,43;1018,19;9,71;24,63;
"K-A3 GRECiOT 1";2022-07-19 06:31:56;15,42;27,48;56,47;31,69;30,30;1018,10;12,69;24,66;
"K-A3 GRECiOT 1";2022-07-19 06:26:55;15,16;0,00;55,84;9,61;43,13;1017,96;9,14;24,57;
"K-A3 GRECiOT 1";2022-07-19 06:21:53;16,10;0,00;59,28;8,47;45,12;1017,89;9,10;24,57;
"K-A3 GRECiOT 1";2022-07-19 06:16:54;16,86;13,32;62,30;24,06;32,58;1017,85;10,53;24,54;
"K-A3 GRECiOT 1";2022-07-19 06:11:52;17,02;15,60;62,94;20,20;40,93;1017,88;11,35;24,54;
"K-A3 GRECiOT 1";2022-07-19 06:06:56;16,84;13,70;62,28;21,72;40,30;1017,92;8,92;24,53;
"K-A3 GRECiOT 1";2022-07-19 06:01:55;16,84;15,67;62,10;23,45;40,53;1017,92;8,41;24,58;
"K-A3 GRECiOT 1";2022-07-19 05:56:53;16,72;15,96;61,66;30,88;28,22;1017,92;11,15;24,57;
"K-A3 GRECiOT 1";2022-07-19 05:51:55;16,71;16,40;61,69;28,83;30,46;1017,90;10,85;24,56;
"K-A3 GRECiOT 1";2022-07-19 05:46:53;16,68;22,35;61,25;29,37;31,16;1017,90;;24,64;
"K-A3 GRECiOT 1";2022-07-19 05:41:55;14,85;24,69;54,26;29,82;32,78;1017,89;14,06;24,71;
"K-A3 GRECiOT 1";2022-07-19 05:36:53;14,81;0,00;54,21;8,38;53,67;1017,76;12,41;24,68;
"K-A3 GRECiOT 1";2022-07-19 05:31:56;14,93;0,00;54,58;8,64;52,03;1017,75;10,87;24,70;
"K-A3 GRECiOT 1";2022-07-19 05:26:55;15,17;0,00;55,29;7,08;56,60;1017,76;8,76;24,74;
"K-A3 GRECiOT 1";2022-07-19 05:21:52;15,09;0,00;55,05;9,44;51,72;1017,78;9,76;24,72;
"K-A3 GRECiOT 1";2022-07-19 05:16:54;15,24;1,11;55,50;9,09;55,99;1017,74;16,34;24,75;
"K-A3 GRECiOT 1";2022-07-19 05:11:53;15,15;2,64;55,13;9,21;58,31;1017,70;10,70;24,77;
