Datetime,Dew Point (C),H2S GCc AVG1H (ppb),Humidity ext (%),NO2 GCc AVG1H (ppb),O3 GCc AVG1H (ppb),Pressure (hPa),TSP AVG1H (ug/m3),Temp ext (C)
2022-07-19 08:00:00,16.665,11.16,61.355000000000004,28.12,24.3,1018.625,17.68,24.595
2022-07-19 07:00:00,17.255,13.99,63.739999999999995,22.95,34.68,1018.24,10.96,24.58
2022-07-19 06:00:00,16.78,8.62,61.879999999999995,17.02,45.87,1017.92,11.26,24.575
2022-07-19 05:00:00,15.129999999999999,7.84,54.974999999999994,14.64,53.92,1017.65,11.74,24.79
2022-07-19 04:00:00,14.925,1.66,53.864999999999995,11.26,52.41,1017.64,9.06,24.915
2022-07-19 03:00:00,14.379999999999999,0.36,50.09,9.07,58.88,1017.48,9.79,25.54
2022-07-19 02:00:00,15.205,2.17,50.575,13.59,52.03,1017.31,11.63,26.285
2022-07-19 01:00:00,16.12,18.3,53.58,32.26,30.05,1017.3,12.85,26.295
2022-07-19 00:00:00,14.620000000000001,10.59,48.67,31.24,26.75,1017.095,12.2,26.29
2022-07-18 23:00:00,15.309999999999999,15.91,49.120000000000005,30.88,35.05,1016.86,13.2,26.89
2022-07-18 22:00:00,16.490000000000002,27.87,51.395,32.64,48.1,1016.48,14.63,27.405
2022-07-18 21:00:00,16.505000000000003,28.97,48.775,34.05,56.17,1015.92,13.82,28.32
2022-07-18 20:00:00,16.270000000000003,33.71,43.870000000000005,30.62,64.53,1015.405,12.57,29.89
2022-07-18 19:00:00,15.379999999999999,21.83,35.980000000000004,22.46,72.99,1015.0,13.01,32.379999999999995
2022-07-18 18:00:00,13.489999999999998,11.68,29.525,19.02,73.41,1015.0,12.1,33.725
2022-07-18 17:00:00,14.445,22.11,31.240000000000002,24.41,74.65,1015.4,13.93,33.825
2022-07-18 16:00:00,14.48,19.29,29.24,24.53,71.12,1015.635,12.93,35.05
2022-07-18 15:00:00,14.075,17.67,27.795,22.73,78.09,1015.88,13.44,35.495
2022-07-18 14:00:00,12.64,7.32,26.740000000000002,15.75,81.82,1016.1800000000001,14.69,34.504999999999995
2022-07-18 13:00:00,10.844999999999999,2.52,24.41,12.33,81.13,1016.4200000000001,13.34,34.015
2022-07-18 12:00:00,10.885000000000002,0.0,24.115000000000002,1.03,78.74,1016.55,13.62,34.28
2022-07-18 11:00:00,10.16,0.0,25.4,0.51,71.58,1016.485,10.49,32.495000000000005
2022-07-18 10:00:00,9.57,0.0,29.345,2.04,61.41,1017.025,10.02,29.27
2022-07-18 09:00:00,9.195,0.0,31.785,1.46,55.26,1017.2,11.12,27.465
2022-07-18 08:00:00,13.0,4.53,40.760000000000005,15.24,47.98,1016.89,13.04,27.52
2022-07-18 07:00:00,15.285,19.34,48.595,24.24,50.89,1016.575,10.56,27.055
2022-07-18 06:00:00,14.07,5.49,44.685,13.66,59.92,1016.03,9.25,27.134999999999998
2022-07-18 05:00:00,11.5,0.0,37.015,0.32,70.87,1015.3050000000001,8.32,27.485
2022-07-18 04:00:00,12.34,0.0,38.26,0.0,68.9,1015.25,8.1,27.87
2022-07-18 03:00:00,12.4,0.0,37.295,0.0,59.07,1015.105,7.57,28.375
2022-07-18 02:00:00,14.59,3.68,42.64,10.12,44.24,1015.165,9.87,28.515
2022-07-18 01:00:00,18.479999999999997,20.15,54.989999999999995,49.01,3.73,1015.515,10.87,28.39
2022-07-18 00:00:00,18.53,25.16,53.620000000000005,57.16,1.1,1015.5,10.73,28.884999999999998
2022-07-17 23:00:00,18.509999999999998,26.43,52.04,50.87,9.4,1015.095,12.15,29.380000000000003
2022-07-17 22:00:00,18.695,24.56,49.7,31.3,48.81,1014.505,13.17,30.38
2022-07-17 21:00:00,18.155,32.93,45.150000000000006,36.58,48.05,1013.575,12.61,31.475
2022-07-17 20:00:00,19.42,46.78,46.875,40.76,59.85,1013.3199999999999,13.05,32.2
2022-07-17 19:00:00,18.965,33.23,37.18,33.91,64.13,1012.755,14.22,35.86
2022-07-17 18:00:00,16.689999999999998,11.13,30.18,16.09,82.09,1012.58,11.36,37.045
2022-07-17 17:00:00,16.494999999999997,10.58,28.875,20.46,74.8,1012.655,13.35,37.625
2022-07-17 16:00:00,17.595,22.09,33.05,27.13,67.22,1012.94,13.83,36.43
2022-07-17 15:00:00,16.33,10.12,28.020000000000003,18.9,76.22,1012.955,11.5,37.995
2022-07-17 14:00:00,17.03,17.03,32.66,21.91,74.85,1013.6949999999999,12.66,35.995000000000005
2022-07-17 13:00:00,15.695,0.0,24.48,0.06,69.14,1013.765,9.38,39.75
2022-07-17 12:00:00,16.62,0.0,29.134999999999998,0.0,63.0,1014.005,11.44,37.61
2022-07-17 11:00:00,15.57,0.0,32.7,0.37,50.28,1013.8,11.69,34.3
2022-07-17 10:00:00,18.04,2.23,44.395,12.94,34.44,1013.525,13.06,31.645
2022-07-17 09:00:00,17.805,19.3,56.095,27.89,19.0,1013.605,10.1,27.33
2022-07-17 08:00:00,17.845,38.24,62.105000000000004,37.6,12.48,1013.1600000000001,8.71,25.645
2022-07-17 07:00:00,16.405,40.46,59.29,44.99,1.3,1012.895,9.07,24.89
2022-07-17 06:00:00,14.985,38.64,52.855000000000004,46.35,3.78,1012.41,7.47,25.3
2022-07-17 05:00:00,12.2,21.82,42.95,37.93,16.01,1012.2,8.36,25.744999999999997
2022-07-17 04:00:00,12.094999999999999,31.48,40.785,37.91,13.72,1011.995,8.8,26.505
2022-07-17 03:00:00,12.655000000000001,34.21,39.9,44.84,10.72,1011.825,6.52,27.505
2022-07-17 02:00:00,10.815000000000001,17.35,33.265,39.69,23.34,1011.745,5.62,28.54
2022-07-17 01:00:00,10.135,6.44,29.775,24.25,48.8,1011.63,5.5,29.67
2022-07-17 00:00:00,9.719999999999999,4.53,28.049999999999997,16.72,63.15,1011.35,5.99,30.229999999999997
2022-07-16 23:00:00,10.754999999999999,13.67,29.439999999999998,25.56,53.87,1011.155,6.71,30.595
2022-07-16 22:00:00,12.14,30.32,31.05,41.11,35.95,1010.865,9.56,31.265
2022-07-16 21:00:00,12.225,18.32,27.29,30.89,50.99,1010.23,8.01,33.655
2022-07-16 20:00:00,11.8,15.58,23.805,23.42,66.36,1009.87,7.28,35.61
2022-07-16 19:00:00,15.6,18.92,27.259999999999998,25.15,69.46,1009.96,5.44,37.64
2022-07-16 18:00:00,12.29,0.0,20.235,4.87,77.44,1010.05,6.78,39.19
2022-07-16 17:00:00,13.49,0.0,21.57,2.93,78.36,1010.455,8.39,39.46
2022-07-16 16:00:00,16.23,1.85,26.155,2.42,78.75,1010.745,10.58,39.16
2022-07-16 15:00:00,18.23,8.23,31.43,8.22,74.15,1011.0999999999999,14.96,38.085
2022-07-16 14:00:00,19.985,2.64,36.81,6.95,74.75,1011.145,24.61,37.19
2022-07-16 13:00:00,19.645,0.0,37.495000000000005,1.82,65.99,1011.67,33.5,36.46
2022-07-16 12:00:00,18.35,0.02,39.730000000000004,4.99,56.8,1011.75,28.12,33.96
2022-07-16 11:00:00,18.295,0.66,46.035,10.98,31.78,1012.08,30.9,31.285
2022-07-16 10:00:00,17.015,12.76,48.935,14.5,21.47,1012.15,24.34,28.835
2022-07-16 09:00:00,17.33,26.89,61.575,32.92,17.05,1012.25,46.66,25.245
2022-07-16 08:00:00,17.68,33.86,65.80000000000001,43.56,5.84,1011.955,19.94,24.495
2022-07-16 07:00:00,14.184999999999999,25.78,55.335,45.61,0.5,1011.6,9.65,23.67
2022-07-16 06:00:00,14.52,25.21,55.485,39.89,13.13,1011.605,9.59,23.985
2022-07-16 05:00:00,12.870000000000001,19.4,48.2,33.08,23.82,1011.14,7.95,24.54
2022-07-16 04:00:00,12.64,20.42,45.44,33.78,28.96,1011.045,7.04,25.275
2022-07-16 03:00:00,12.3,18.95,42.34,37.27,25.99,1010.975,7.74,26.095
2022-07-16 02:00:00,12.455,17.94,40.345,36.75,28.76,1010.845,6.76,27.085
2022-07-16 01:00:00,11.754999999999999,8.53,37.15,18.91,61.12,1010.805,6.26,27.705
2022-07-16 00:00:00,11.02,9.3,34.849999999999994,21.42,59.51,1010.63,8.1,27.97
2022-07-15 23:00:00,11.870000000000001,14.44,36.010000000000005,32.75,43.09,1010.49,8.84,28.375
2022-07-15 22:00:00,12.3,21.94,35.095,38.21,35.29,1010.2049999999999,9.73,29.305
2022-07-15 21:00:00,11.895,10.16,30.835,22.9,56.79,1009.53,9.24,31.095
2022-07-15 20:00:00,12.004999999999999,7.38,28.165,24.4,51.22,1009.175,8.94,32.83
2022-07-15 19:00:00,13.7,15.02,28.369999999999997,31.07,49.02,1009.075,7.47,34.68
2022-07-15 18:00:00,15.585,11.82,29.47,31.58,51.7,1008.945,9.21,36.2
2022-07-15 17:00:00,16.15,5.82,29.130000000000003,14.94,79.71,1009.1500000000001,12.22,37.105000000000004
2022-07-15 16:00:00,14.96,0.58,26.924999999999997,6.51,76.02,1009.335,12.13,37.11
2022-07-15 15:00:00,15.455,0.0,28.845,1.27,74.12,1009.485,15.96,36.44
2022-07-15 14:00:00,17.134999999999998,0.0,33.34,5.6,68.51,1009.855,23.34,35.765
2022-07-15 13:00:00,17.97,0.0,38.22,1.71,63.09,1010.52,23.76,34.224999999999994
2022-07-15 12:00:00,16.895000000000003,0.38,39.965,6.25,48.12,1010.7950000000001,33.93,32.225
2022-07-15 11:00:00,18.115000000000002,3.77,47.93,18.07,29.86,1010.985,36.96,30.38
