,co_μg/m3 (Kastom),NO2_ppb (Kastom)
2022-04-10 00:00:00,928.8254261211944,61.64383561643836
2022-04-10 01:00:00,492.10772468822415,58.21917808219178
2022-04-10 02:00:00,373.1810204477214,58.21917808219178
2022-04-10 03:00:00,480.09758225755496,61.64383561643836
2022-04-10 04:00:00,464.8748639065311,58.21917808219178
2022-04-10 05:00:00,293.04086105866963,39.38356164383562
2022-04-10 06:00:00,397.1470752879425,54.79452054794521
2022-04-10 07:00:00,499.0571604121958,58.21917808219178
2022-04-10 08:00:00,425.6210405214528,65.06849315068493
2022-04-10 09:00:00,536.4721789784425,35.95890410958904
2022-04-10 10:00:00,402.9361113312705,44.52054794520548
2022-04-10 11:00:00,334.2097295856936,22.26027397260274
2022-04-10 12:00:00,443.00663395558126,71.91780821917808
2022-04-10 13:00:00,396.54478247001134,85.6164383561644
2022-04-10 14:00:00,255.4979464028698,71.91780821917808
2022-04-10 15:00:00,242.5541604896073,58.21917808219178
2022-04-10 16:00:00,220.12812864219487,54.79452054794521
2022-04-10 17:00:00,212.94345644264283,54.79452054794521
2022-04-10 18:00:00,221.8962148207618,54.79452054794521
2022-04-10 19:00:00,210.3730618824971,47.945205479452056
2022-04-10 20:00:00,198.12241452013225,51.36986301369864
2022-04-10 21:00:00,197.7396475610226,51.36986301369864
2022-04-10 22:00:00,197.26380838181692,54.79452054794521
2022-04-10 23:00:00,188.85627079481625,51.36986301369864
2022-04-11 00:00:00,178.01529823572315,51.36986301369864
2022-04-11 01:00:00,173.87397511994084,51.36986301369864
2022-04-11 02:00:00,171.0304780182791,51.36986301369864
2022-04-11 03:00:00,179.01859465827746,54.79452054794521
2022-04-11 04:00:00,209.68977494996005,54.79452054794521
2022-04-11 05:00:00,220.6570879020786,54.79452054794521
2022-04-11 06:00:00,257.94019429317973,51.36986301369864
2022-04-11 07:00:00,235.64432527075127,51.36986301369864
2022-04-11 08:00:00,216.73860181128927,47.945205479452056
2022-04-11 09:00:00,252.2083037778438,44.52054794520548
2022-04-11 10:00:00,229.24880400094617,44.52054794520548
2022-04-11 11:00:00,240.8946574815997,46.23287671232877
2022-04-11 12:00:00,301.7730112031549,47.945205479452056
2022-04-11 13:00:00,275.0095631838725,49.65753424657535
2022-04-11 14:00:00,241.87115480864944,51.36986301369864
2022-04-11 15:00:00,261.8387934807257,51.36986301369864
2022-04-11 16:00:00,229.35322766267024,51.36986301369864
2022-04-11 17:00:00,238.32286387739316,54.79452054794521
2022-04-11 18:00:00,246.7442650097984,58.21917808219178
2022-04-11 19:00:00,235.12861041163887,58.21917808219178
2022-04-11 20:00:00,222.80022982955248,58.21917808219178
2022-04-11 21:00:00,252.16549467946348,58.21917808219178
2022-04-11 22:00:00,241.07580231473028,58.21917808219178
2022-04-11 23:00:00,206.9177422778492,58.21917808219178
2022-04-12 00:00:00,189.09767130777803,54.79452054794521
2022-04-12 01:00:00,177.7481978032122,54.79452054794521
2022-04-12 02:00:00,178.86810020298614,58.21917808219178
2022-04-12 03:00:00,287.65090446757245,63.35616438356165
2022-04-12 04:00:00,469.6778644019239,75.34246575342466
2022-04-12 05:00:00,854.910691481286,73.63013698630138
2022-04-12 06:00:00,313.95562379488314,51.36986301369864
2022-04-12 07:00:00,268.4468519472955,49.65753424657535
2022-04-12 08:00:00,412.9260505568784,58.21917808219178
2022-04-12 09:00:00,282.9131470526314,46.23287671232877
2022-04-12 10:00:00,267.92345816104057,44.52054794520548
2022-04-12 11:00:00,327.07377080557967,42.8082191780822
2022-04-12 12:00:00,321.65964009606154,61.64383561643836
2022-04-12 13:00:00,368.7894294548229,59.93150684931507
2022-04-12 14:00:00,291.2948552860001,65.06849315068493
2022-04-12 15:00:00,373.2215957009751,73.63013698630138
2022-04-12 16:00:00,362.6320730952125,71.91780821917808
2022-04-12 17:00:00,344.0157106592696,68.4931506849315
2022-04-12 18:00:00,368.3933198417931,65.06849315068493
2022-04-12 19:00:00,436.6370079577832,75.34246575342466
2022-04-12 20:00:00,359.30342176777384,68.4931506849315
2022-04-12 21:00:00,335.71473216861096,65.06849315068493
2022-04-12 22:00:00,287.8597196309651,65.06849315068493
2022-04-12 23:00:00,274.3121927943188,61.64383561643836
2022-04-13 00:00:00,270.56160775869216,61.64383561643836
2022-04-13 01:00:00,265.3790705044613,59.93150684931507
2022-04-13 02:00:00,293.7678648793112,61.64383561643836
2022-04-13 03:00:00,337.6254271951261,70.20547945205479
2022-04-13 04:00:00,531.2800847702481,71.91780821917808
2022-04-13 05:00:00,1191.2623815880045,71.91780821917808
2022-04-13 06:00:00,519.7363879831405,58.21917808219178
2022-04-13 07:00:00,615.4059975427645,54.79452054794521
2022-04-13 08:00:00,467.7726895361415,58.21917808219178
2022-04-13 09:00:00,419.0467788769995,46.23287671232877
2022-04-13 10:00:00,333.83560764575435,58.21917808219178
2022-04-13 11:00:00,335.77890339162445,53.08219178082192
2022-04-13 12:00:00,296.496161216671,58.21917808219178
2022-04-13 13:00:00,334.1460038018498,66.78082191780823
2022-04-13 14:00:00,291.1765070866372,61.64383561643836
2022-04-13 15:00:00,312.08322289195667,59.93150684931507
2022-04-13 16:00:00,346.49155417039793,61.64383561643836
2022-04-13 17:00:00,407.6226295167308,65.06849315068493
2022-04-13 18:00:00,394.6846360381092,68.4931506849315
2022-04-13 19:00:00,467.76671883497625,75.34246575342466
2022-04-13 20:00:00,648.7267742547565,78.76712328767124
2022-04-13 21:00:00,592.9244672617826,75.34246575342466
2022-04-13 22:00:00,512.8909561444646,71.91780821917808
2022-04-13 23:00:00,396.8309591156709,65.06849315068493
2022-04-14 00:00:00,339.07093281881305,61.64383561643836
2022-04-14 01:00:00,321.4434965540995,61.64383561643836
2022-04-14 02:00:00,283.51352684451786,61.64383561643836
2022-04-14 03:00:00,411.8662334634721,65.06849315068493
2022-04-14 04:00:00,764.5717407525681,65.06849315068493
2022-04-14 05:00:00,1085.9060162366322,68.4931506849315
2022-04-14 06:00:00,772.2723138046645,54.79452054794521
2022-04-14 07:00:00,572.7976571933976,58.21917808219178
2022-04-14 08:00:00,514.0450669641469,54.79452054794521
2022-04-14 09:00:00,463.2146139203367,54.79452054794521
2022-04-14 10:00:00,423.3094427394492,37.67123287671233
2022-04-14 11:00:00,336.2255423297004,51.36986301369864
2022-04-14 12:00:00,238.4168963124829,58.21917808219178
2022-04-14 13:00:00,337.58395250663034,58.21917808219178
2022-04-14 14:00:00,363.7834059151,58.21917808219178
2022-04-14 15:00:00,361.58016582529984,66.78082191780823
2022-04-14 16:00:00,377.16380946648695,75.34246575342466
2022-04-14 17:00:00,432.2839343919969,75.34246575342466
2022-04-14 18:00:00,453.1548971245952,71.91780821917808
2022-04-14 19:00:00,740.8879317810528,82.19178082191782
2022-04-14 20:00:00,751.9161188983251,75.34246575342466
2022-04-14 21:00:00,607.3034135233279,71.91780821917808
2022-04-14 22:00:00,1321.1479560713128,71.91780821917808
2022-04-14 23:00:00,1103.6076847032095,75.34246575342466
2022-04-15 00:00:00,409.5902985019026,58.21917808219178
2022-04-15 01:00:00,473.2076489311562,61.64383561643836
2022-04-15 02:00:00,473.39886565095696,61.64383561643836
2022-04-15 03:00:00,476.6708057568732,61.64383561643836
2022-04-15 04:00:00,716.9532414575215,61.64383561643836
2022-04-15 05:00:00,1084.2564066358204,58.21917808219178
2022-04-15 06:00:00,655.5007440857484,54.79452054794521
2022-04-15 07:00:00,550.7073247847143,49.65753424657535
2022-04-15 08:00:00,668.7923561475843,47.945205479452056
2022-04-15 09:00:00,757.3946104408458,49.65753424657535
2022-04-15 10:00:00,438.0085374841239,30.82191780821918
2022-04-15 11:00:00,395.2564855288966,23.972602739726028
2022-04-15 12:00:00,547.5282098363756,58.21917808219178
2022-04-15 13:00:00,466.2982310313957,66.78082191780823
2022-04-15 14:00:00,438.79280635894565,58.21917808219178
2022-04-15 15:00:00,450.8202603288165,59.93150684931507
2022-04-15 16:00:00,517.5907659850236,54.79452054794521
2022-04-15 17:00:00,514.487178110624,65.06849315068493
