Device;Datetime;"Dew Point (C)";"H2S GCC (ppb)";"Humidity ext (%)";"NO2 GCc (ppb)";"O3 GCc (ppb)";"PM1 (ug/m3)";"PM2.5 (ug/m3)";"PM10 (ug/m3)";"Temp ext (C)";
"K-A3 GRECiOT 1";2022-09-04 23:56:54;22,29;26,88;93,87;33,69;41,93;8,54;9,39;10,43;23,34;
"K-A3 GRECiOT 1";2022-09-04 23:51:55;22,02;25,43;91,27;33,99;42,37;9,56;10,42;11,59;23,52;
"K-A3 GRECiOT 1";2022-09-04 23:46:52;22,43;24,63;89,84;27,52;50,39;11,50;12,59;15,51;24,20;
"K-A3 GRECiOT 1";2022-09-04 23:41:55;21,93;28,97;82,17;30,50;47,97;16,09;17,93;40,74;25,19;
"K-A3 GRECiOT 1";2022-09-04 23:36:52;21,62;23,78;77,83;27,73;44,59;16,75;18,47;25,92;25,79;
"K-A3 GRECiOT 1";2022-09-04 23:31:55;21,47;19,29;75,44;25,90;45,84;16,75;18,39;21,59;26,16;
"K-A3 GRECiOT 1";2022-09-04 23:26:54;21,73;16,91;76,01;26,83;35,43;14,05;15,19;17,37;26,30;
"K-A3 GRECiOT 1";2022-09-04 23:21:52;21,24;15,25;73,66;25,64;36,26;13,36;14,31;16,49;26,32;
"K-A3 GRECiOT 1";2022-09-04 23:16:54;21,55;11,39;74,72;20,91;39,09;12,24;13,15;14,91;26,41;
"K-A3 GRECiOT 1";2022-09-04 23:11:53;21,45;12,44;73,97;20,09;40,83;12,00;12,91;14,95;26,47;
"K-A3 GRECiOT 1";2022-09-04 23:06:56;21,15;10,34;72,55;18,41;40,73;11,90;12,77;14,73;26,49;
"K-A3 GRECiOT 1";2022-09-04 23:01:55;20,89;7,54;71,56;15,65;43,00;11,80;12,67;14,24;26,45;
"K-A3 GRECiOT 1";2022-09-04 22:56:53;21,11;7,55;72,90;16,01;40,48;11,64;12,51;14,25;26,37;
"K-A3 GRECiOT 1";2022-09-04 22:51:54;21,07;10,29;72,55;19,49;39,71;12,50;13,50;15,91;26,41;
"K-A3 GRECiOT 1";2022-09-04 22:46:53;20,94;11,61;72,20;26,61;29,72;12,49;13,51;15,57;26,35;
"K-A3 GRECiOT 1";2022-09-04 22:41:54;20,88;9,97;72,00;20,09;40,61;12,64;13,63;15,93;26,34;
"K-A3 GRECiOT 1";2022-09-04 22:36:53;20,93;10,92;72,07;20,46;40,90;12,51;13,56;16,82;26,37;
"K-A3 GRECiOT 1";2022-09-04 22:31:56;20,97;13,53;72,21;22,51;38,37;12,56;13,56;16,76;26,38;
"K-A3 GRECiOT 1";2022-09-04 22:26:55;20,99;13,54;72,33;24,33;36,66;13,07;14,10;17,55;26,37;
"K-A3 GRECiOT 1";2022-09-04 22:21:53;21,02;11,96;72,20;20,48;43,85;13,26;14,30;17,88;26,44;
"K-A3 GRECiOT 1";2022-09-04 22:16:54;21,14;16,86;72,26;24,93;39,23;13,41;14,48;17,79;26,55;
"K-A3 GRECiOT 1";2022-09-04 22:11:52;21,11;17,74;72,07;27,17;37,22;12,85;13,86;16,25;26,56;
"K-A3 GRECiOT 1";2022-09-04 22:06:56;20,92;14,16;71,22;24,26;40,25;12,58;13,56;16,23;26,56;
"K-A3 GRECiOT 1";2022-09-04 22:01:55;20,97;12,93;71,19;21,97;43,72;12,59;13,63;16,87;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:56:53;20,99;15,81;71,27;24,38;40,70;12,65;13,73;16,63;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:51:55;20,91;13,38;71,29;22,14;42,70;12,57;13,55;16,46;26,54;
"K-A3 GRECiOT 1";2022-09-04 21:46:53;20,92;14,31;71,41;24,47;41,96;12,84;13,90;16,99;26,52;
"K-A3 GRECiOT 1";2022-09-04 21:41:55;20,90;16,41;71,43;25,52;40,78;12,99;14,09;16,63;26,49;
"K-A3 GRECiOT 1";2022-09-04 21:36:53;20,90;15,39;71,50;23,21;45,43;12,77;13,89;16,80;26,48;
"K-A3 GRECiOT 1";2022-09-04 21:31:56;20,91;16,95;71,24;25,08;44,77;12,66;13,79;17,03;26,55;
"K-A3 GRECiOT 1";2022-09-04 21:26:55;20,92;17,58;70,96;24,12;46,26;13,07;14,23;17,99;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:21:53;20,92;18,29;71,02;28,63;38,16;12,92;14,00;17,29;26,60;
"K-A3 GRECiOT 1";2022-09-04 21:16:54;20,90;18,53;70,91;28,95;38,67;13,25;14,37;17,81;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:11:53;20,92;21,44;70,87;31,02;36,70;12,99;14,13;16,91;26,65;
"K-A3 GRECiOT 1";2022-09-04 21:06:56;20,90;18,92;70,54;26,62;45,00;12,57;13,67;17,05;26,71;
"K-A3 GRECiOT 1";2022-09-04 21:01:55;20,89;20,72;70,09;26,68;45,60;12,68;13,76;16,39;26,81;
"K-A3 GRECiOT 1";2022-09-04 20:56:53;20,87;18,94;69,75;26,52;45,34;12,76;13,86;16,73;26,86;
"K-A3 GRECiOT 1";2022-09-04 20:51:55;20,92;19,52;69,97;28,12;43,03;12,57;13,64;16,45;26,86;
"K-A3 GRECiOT 1";2022-09-04 20:46:53;20,97;21,67;70,12;29,86;42,26;12,57;13,70;17,80;26,87;
"K-A3 GRECiOT 1";2022-09-04 20:41:55;21,02;21,49;69,84;27,97;48,09;12,68;13,86;17,60;27,00;
"K-A3 GRECiOT 1";2022-09-04 20:36:53;20,99;23,77;69,52;31,01;43,72;12,52;13,68;17,67;27,05;
"K-A3 GRECiOT 1";2022-09-04 20:31:56;20,82;25,44;68,73;32,52;40,64;12,39;13,54;16,61;27,06;
"K-A3 GRECiOT 1";2022-09-04 20:26:55;20,69;23,46;67,82;29,95;43,27;12,53;13,74;17,72;27,16;
"K-A3 GRECiOT 1";2022-09-04 20:21:53;20,75;29,46;67,62;31,91;38,31;12,24;13,40;16,82;27,27;
"K-A3 GRECiOT 1";2022-09-04 20:16:54;20,72;24,08;67,30;29,47;41,46;12,51;13,71;17,08;27,32;
"K-A3 GRECiOT 1";2022-09-04 20:11:53;20,85;23,64;67,49;31,93;38,89;11,91;12,97;16,07;27,40;
"K-A3 GRECiOT 1";2022-09-04 20:06:56;20,86;24,56;67,39;32,38;39,76;11,41;12,44;14,95;27,44;
"K-A3 GRECiOT 1";2022-09-04 20:01:55;20,87;24,15;67,30;31,08;42,47;11,52;12,57;15,42;27,47;
"K-A3 GRECiOT 1";2022-09-04 19:56:53;20,93;26,76;67,11;33,02;41,73;11,48;12,55;15,63;27,58;
"K-A3 GRECiOT 1";2022-09-04 19:51:55;20,90;26,42;66,66;33,67;40,24;12,06;13,15;16,67;27,67;
"K-A3 GRECiOT 1";2022-09-04 19:46:53;20,84;26,36;66,21;33,87;39,25;11,74;12,77;15,41;27,72;
"K-A3 GRECiOT 1";2022-09-04 19:41:55;20,85;25,55;65,86;33,00;41,94;11,70;12,81;16,00;27,83;
"K-A3 GRECiOT 1";2022-09-04 19:36:52;20,89;26,35;65,41;33,75;40,90;11,72;12,85;15,89;27,98;
"K-A3 GRECiOT 1";2022-09-04 19:31:56;20,88;26,38;64,84;35,11;39,57;11,84;13,00;16,48;28,12;
"K-A3 GRECiOT 1";2022-09-04 19:26:55;20,86;27,26;65,23;37,06;34,82;11,33;12,46;15,90;27,99;
"K-A3 GRECiOT 1";2022-09-04 19:21:53;20,87;26,21;64,65;32,53;46,37;11,46;12,72;16,11;28,16;
"K-A3 GRECiOT 1";2022-09-04 19:16:55;20,85;24,96;63,92;34,63;43,29;11,46;12,64;15,75;28,33;
"K-A3 GRECiOT 1";2022-09-04 19:11:53;20,88;23,09;63,40;33,96;43,79;11,09;12,24;15,78;28,50;
"K-A3 GRECiOT 1";2022-09-04 19:06:56;20,84;25,08;63,39;35,85;39,83;11,15;12,39;15,62;28,47;
