Datetime,Dew Point (C),H2S (ppb),NO2 (ppb),Humidity (%),O3 (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temp (C)
2022-04-10 00:00:00,9.74,16.6,60.03,42.0,0.0,6.61,8.56,12.61,17.6
2022-04-10 01:00:00,9.55,11.56,59.0,38.98,0.0,6.22,8.15,12.43,17.67
2022-04-10 02:00:00,9.39,13.33,59.05,37.07,0.0,6.26,8.22,12.04,17.49
2022-04-10 03:00:00,8.08,1.31,58.41,29.14,4.68,4.69,6.38,8.87,16.26
2022-04-10 04:00:00,7.46,0.33,58.28,29.25,2.04,3.49,4.99,7.16,15.64
2022-04-10 05:00:00,7.2,2.11,58.07,33.18,0.27,3.72,5.28,8.31,15.41
2022-04-10 06:00:00,7.16,0.84,56.61,34.14,0.0,4.14,5.75,8.57,15.76
2022-04-10 07:00:00,4.55,0.0,45.42,14.43,17.89,4.02,5.36,7.95,16.44
2022-04-10 08:00:00,3.91,0.0,40.1,12.32,22.9,3.04,4.21,6.6,17.65
2022-04-10 09:00:00,4.99,0.01,41.05,22.93,11.0,3.7,5.05,7.68,18.48
2022-04-10 10:00:00,7.77,3.12,46.51,22.78,15.09,4.98,6.67,10.16,19.57
2022-04-10 11:00:00,6.45,0.1,37.08,9.23,23.93,4.52,6.24,10.05,21.95
2022-04-10 12:00:00,5.98,0.0,30.03,0.62,36.05,3.56,4.98,7.99,24.75
2022-04-10 13:00:00,4.66,0.56,22.95,0.0,32.53,2.26,3.32,5.72,27.78
2022-04-10 14:00:00,6.69,17.97,33.81,12.25,43.78,3.48,5.91,22.9,24.13
2022-04-10 15:00:00,11.06,50.54,67.63,32.76,34.99,4.62,5.73,8.18,17.13
2022-04-10 16:00:00,8.99,32.15,73.21,23.71,38.62,1.71,2.11,3.07,13.7
2022-04-10 17:00:00,6.06,13.59,68.0,15.23,34.99,0.66,0.78,1.24,11.78
2022-04-10 18:00:00,4.72,3.59,62.52,8.88,39.08,0.97,1.12,2.04,11.64
2022-04-10 19:00:00,3.78,0.02,61.44,8.63,36.85,1.36,1.52,2.31,10.91
2022-04-10 20:00:00,2.88,0.0,62.81,8.9,39.15,1.72,1.94,3.14,9.63
2022-04-10 21:00:00,1.75,0.0,56.51,4.8,42.54,2.98,3.28,5.14,10.01
2022-04-10 22:00:00,1.25,0.0,54.52,3.13,46.95,5.31,5.7,7.76,10.01
2022-04-10 23:00:00,1.25,0.0,55.19,4.43,46.57,7.26,7.78,9.13,9.83
2022-04-11 00:00:00,1.22,0.0,55.7,4.88,46.31,8.66,9.36,11.08,9.65
2022-04-11 01:00:00,0.76,0.0,54.03,3.86,47.49,8.2,8.94,10.32,9.62
2022-04-11 02:00:00,0.2,0.0,51.32,2.53,49.7,6.27,7.0,8.57,9.71
2022-04-11 03:00:00,0.15,0.0,49.34,2.0,50.64,5.71,6.49,8.62,9.78
2022-04-11 04:00:00,0.15,0.0,49.06,2.83,50.48,5.63,6.45,8.76,9.78
2022-04-11 05:00:00,0.34,0.0,50.36,4.67,48.32,5.22,6.03,8.12,9.63
2022-04-11 06:00:00,0.56,0.0,49.63,6.51,46.09,5.14,6.01,8.45,9.67
2022-04-11 07:00:00,1.71,0.0,48.52,7.86,43.99,4.74,5.63,8.35,9.77
2022-04-11 08:00:00,4.11,0.0,46.51,8.97,41.81,4.76,5.7,8.87,10.23
2022-04-11 09:00:00,4.67,0.0,41.66,5.84,43.62,4.52,5.52,9.54,11.8
2022-04-11 10:00:00,3.58,0.0,35.86,1.46,46.56,3.79,4.73,9.04,13.81
2022-04-11 11:00:00,3.45,0.0,32.0,0.69,47.75,3.29,4.13,7.64,15.54
2022-04-11 12:00:00,3.81,0.0,29.09,0.23,48.3,2.91,3.72,7.2,16.94
2022-04-11 13:00:00,3.43,0.0,27.01,0.07,50.84,2.62,3.39,6.98,17.68
2022-04-11 14:00:00,2.96,0.0,24.85,0.7,51.53,2.19,2.8,5.55,18.71
2022-04-11 15:00:00,2.49,0.0,23.02,0.34,52.97,1.86,2.46,5.26,19.58
2022-04-11 16:00:00,2.01,0.0,22.18,0.24,55.39,1.7,2.19,3.94,19.6
2022-04-11 17:00:00,1.61,0.0,21.43,0.55,56.02,1.73,2.18,3.42,19.24
2022-04-11 18:00:00,1.45,0.0,20.86,2.54,54.46,1.68,2.14,3.56,18.57
2022-04-11 19:00:00,1.46,0.72,23.02,6.28,51.42,1.78,2.26,4.06,16.81
2022-04-11 20:00:00,2.25,2.63,24.92,11.23,45.43,2.0,2.45,3.59,15.09
2022-04-11 21:00:00,2.96,3.42,26.61,13.82,43.16,1.98,2.44,3.61,13.86
2022-04-11 22:00:00,3.13,4.04,28.27,11.81,44.04,2.45,2.93,4.36,13.35
2022-04-11 23:00:00,4.19,4.93,30.47,14.99,37.99,2.78,3.24,4.24,12.63
2022-04-12 00:00:00,4.15,4.51,32.26,15.08,35.05,2.96,3.42,4.1,11.72
2022-04-12 01:00:00,4.2,2.3,33.3,11.06,42.62,2.58,3.0,3.58,11.09
2022-04-12 02:00:00,4.31,0.17,33.08,7.53,48.96,2.31,2.7,3.32,10.71
2022-04-12 03:00:00,3.94,0.0,32.22,5.36,52.51,2.47,2.9,3.62,10.52
2022-04-12 04:00:00,4.13,0.0,33.47,6.45,50.67,2.53,2.95,3.46,10.13
2022-04-12 05:00:00,4.41,0.62,36.3,19.23,29.65,3.03,3.77,6.08,9.37
2022-04-12 06:00:00,4.74,5.5,40.32,44.27,2.41,4.14,5.38,8.96,8.5
2022-04-12 07:00:00,4.22,11.24,43.39,56.03,0.0,5.39,6.97,11.85,8.1
2022-04-12 08:00:00,4.68,0.0,37.71,20.74,27.57,2.93,3.65,5.51,9.72
2022-04-12 09:00:00,3.25,0.0,31.41,7.6,42.45,2.61,3.22,5.08,12.9
2022-04-12 10:00:00,5.24,0.11,31.84,24.66,17.08,6.43,8.21,15.47,15.15
2022-04-12 11:00:00,3.67,0.0,25.46,9.8,34.81,3.94,4.84,7.74,17.56
2022-04-12 12:00:00,3.02,0.0,20.06,0.15,47.9,2.09,2.65,4.49,19.95
2022-04-12 13:00:00,3.31,0.0,19.33,0.0,50.08,2.25,2.79,4.55,21.44
2022-04-12 14:00:00,1.87,1.79,22.72,4.88,52.94,2.63,3.34,5.52,21.41
2022-04-12 15:00:00,1.4,2.75,23.12,6.73,53.63,2.73,3.49,6.56,21.32
2022-04-12 16:00:00,0.76,7.95,24.95,7.4,57.07,2.66,3.39,6.62,21.42
2022-04-12 17:00:00,4.1,22.13,35.11,16.51,53.49,2.79,3.58,6.54,20.01
2022-04-12 18:00:00,3.8,19.18,37.1,17.32,49.08,2.54,3.3,5.82,18.79
2022-04-12 19:00:00,3.69,17.4,42.13,20.95,43.13,2.79,3.63,6.41,16.64
2022-04-12 20:00:00,2.34,12.18,42.2,22.31,35.68,3.54,4.48,7.47,15.11
2022-04-12 21:00:00,2.51,13.76,47.17,39.21,11.8,3.97,5.12,8.45,13.58
2022-04-12 22:00:00,2.2,10.04,50.45,32.58,19.26,3.41,4.37,6.94,12.2
2022-04-12 23:00:00,1.97,6.61,51.13,28.05,24.11,3.28,4.14,6.28,11.75
2022-04-13 00:00:00,1.87,3.81,51.66,21.61,33.45,2.54,3.33,5.49,11.49
2022-04-13 01:00:00,2.2,2.7,53.54,16.23,40.65,1.96,2.58,4.19,11.3
2022-04-13 02:00:00,2.11,1.8,55.17,16.02,36.78,1.99,2.57,3.83,10.76
2022-04-13 03:00:00,2.0,1.4,57.21,18.81,27.17,2.36,2.92,4.08,10.09
2022-04-13 04:00:00,2.24,1.92,60.67,23.7,20.81,2.92,3.54,4.7,9.48
2022-04-13 05:00:00,2.43,2.38,64.24,37.42,5.68,3.48,4.26,5.88,8.82
2022-04-13 06:00:00,2.66,8.8,67.02,50.24,0.0,4.59,5.8,8.66,8.44
2022-04-13 07:00:00,3.13,18.81,68.68,56.86,0.0,5.85,7.66,13.52,8.57
2022-04-13 08:00:00,4.08,6.63,66.51,41.34,3.74,7.28,8.61,12.24,10.05
2022-04-13 09:00:00,5.38,1.27,59.72,31.87,5.7,9.06,10.43,14.6,13.08
2022-04-13 10:00:00,5.46,0.0,51.99,22.11,16.88,10.8,12.3,15.98,15.28
2022-04-13 11:00:00,4.24,0.0,40.86,10.14,30.97,6.24,7.31,10.02,17.83
2022-04-13 12:00:00,4.37,0.0,37.82,7.26,43.4,3.99,4.84,7.22,19.14
2022-04-13 13:00:00,6.7,0.27,42.09,6.44,50.77,3.29,4.18,6.76,19.98
2022-04-13 14:00:00,8.32,5.27,45.9,7.47,52.97,3.13,3.98,6.73,20.37
2022-04-13 15:00:00,8.85,7.99,47.64,11.21,48.66,2.69,3.63,7.02,20.34
2022-04-13 16:00:00,7.42,1.25,44.71,3.98,55.91,2.54,3.34,6.06,19.82
2022-04-13 17:00:00,6.99,0.69,44.41,7.51,55.08,2.66,3.5,6.31,19.44
2022-04-13 18:00:00,7.04,1.61,45.35,8.91,52.29,3.0,3.9,6.95,19.16
2022-04-13 19:00:00,6.38,4.31,49.01,18.07,41.97,3.42,4.34,7.67,17.19
2022-04-13 20:00:00,5.87,6.76,53.24,24.07,35.43,4.1,5.12,8.71,15.35
2022-04-13 21:00:00,6.02,10.11,58.7,37.85,16.25,4.54,5.59,9.31,13.99
2022-04-13 22:00:00,6.27,12.74,63.38,48.37,4.43,5.2,6.27,9.65,13.07
2022-04-13 23:00:00,5.75,6.89,63.2,46.12,3.09,5.24,6.34,9.76,12.56
2022-04-14 00:00:00,5.66,7.46,65.77,47.61,0.45,5.66,7.42,16.0,11.86
2022-04-14 01:00:00,5.63,3.6,68.42,36.59,6.59,5.48,6.7,11.65,11.24
2022-04-14 02:00:00,5.5,2.14,70.32,25.91,17.49,5.89,6.74,8.89,10.69
2022-04-14 03:00:00,5.38,0.45,72.02,24.52,16.35,6.55,7.27,8.95,10.2
2022-04-14 04:00:00,5.3,0.21,73.39,26.8,11.33,6.71,7.51,9.36,9.84
2022-04-14 05:00:00,5.74,2.42,77.18,34.74,1.85,9.35,10.38,13.11,9.54
2022-04-14 06:00:00,5.53,8.11,78.41,44.86,0.0,9.95,11.51,16.59,9.09
