Datetime,Dew Point (C),H2S (ppb),NO2 (ppb),Humidity (%),O3 (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temp (C)
2022-04-10 00:00:00,9.74,16.6,60.03,42.0,0.0,6.61,8.56,12.61,17.6
2022-04-10 01:00:00,9.55,11.56,59.0,38.98,0.0,6.22,8.15,12.43,17.67
2022-04-10 02:00:00,9.39,13.33,59.05,37.07,0.0,6.26,8.22,12.04,17.49
2022-04-10 03:00:00,8.08,1.31,58.41,29.14,4.68,4.69,6.38,8.87,16.26
2022-04-10 04:00:00,7.46,0.33,58.28,29.25,2.04,3.49,4.99,7.16,15.64
2022-04-10 05:00:00,7.2,2.11,58.07,33.18,0.27,3.72,5.28,8.31,15.41
2022-04-10 06:00:00,7.16,0.84,56.61,34.14,0.0,4.14,5.75,8.57,15.76
2022-04-10 07:00:00,4.55,0.0,45.42,14.43,17.89,4.02,5.36,7.95,16.44
2022-04-10 08:00:00,3.91,0.0,40.1,12.32,22.9,3.04,4.21,6.6,17.65
2022-04-10 09:00:00,4.99,0.01,41.05,22.93,11.0,3.7,5.05,7.68,18.48
