Datetime,Dew Point (C),H2S (ppb),Humidity (%),NO2 (ppb),O3 (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temp (C)
2022-08-25 11:51:54,20.31,0.48,70.8,16.91,29.36,12.9,14.76,18.43,26.03
2022-08-25 11:46:52,20.24,0.0,70.8,13.03,33.39,12.81,14.47,16.92,25.96
2022-08-25 11:41:55,20.14,0.0,71.66,13.77,33.11,10.99,12.47,14.5,25.65
2022-08-25 11:36:52,20.19,0.0,72.62,15.35,31.27,11.12,12.68,15.12,25.48
2022-08-25 11:31:56,20.08,0.0,72.67,15.47,31.81,11.48,12.99,15.37,25.35
2022-08-25 11:26:55,20.28,0.0,73.64,14.17,32.18,11.95,13.44,15.68,25.33
2022-08-25 11:21:53,20.06,2.46,72.8,18.25,29.18,12.7,14.25,17.08,25.29
2022-08-25 11:16:54,19.68,0.0,72.02,13.71,35.78,8.93,10.29,12.37,25.08
2022-08-25 11:11:53,19.55,0.0,72.15,13.14,35.56,8.55,9.88,12.04,24.91
2022-08-25 11:06:55,19.46,0.0,72.38,15.55,33.83,8.59,9.93,13.21,24.77
2022-08-25 11:01:54,19.66,0.0,73.61,14.76,34.33,8.44,9.72,11.78,24.7
2022-08-25 10:56:53,19.81,0.0,75.09,19.61,28.2,8.35,9.64,12.21,24.51
2022-08-25 10:51:54,19.63,0.0,75.46,19.21,28.37,7.38,8.42,10.11,24.24
2022-08-25 10:46:52,19.8,0.0,77.2,19.56,29.11,6.06,7.06,8.8,24.05
2022-08-25 10:41:54,19.61,0.0,77.33,20.38,28.36,6.14,7.05,8.52,23.82
2022-08-25 10:36:53,19.69,0.0,78.05,19.48,30.47,6.23,7.17,8.86,23.75
2022-08-25 10:31:55,19.83,1.06,78.57,24.7,24.44,6.53,7.56,9.59,23.78
2022-08-25 10:26:54,19.65,1.58,78.1,23.47,25.97,5.15,6.06,7.54,23.69
2022-08-25 10:21:52,19.56,2.32,78.14,25.27,25.41,3.98,4.99,6.93,23.59
2022-08-25 10:16:54,19.32,0.0,77.33,23.7,28.52,3.46,4.46,6.59,23.52
2022-08-25 10:11:52,19.28,0.0,77.56,21.58,29.28,3.13,4.22,5.92,23.42
2022-08-25 10:06:55,19.47,0.0,78.62,21.2,31.86,3.07,4.16,5.98,23.4
2022-08-25 10:01:55,19.51,2.17,79.41,24.65,28.14,2.98,4.06,5.84,23.28
2022-08-25 09:56:52,19.36,1.71,79.44,25.59,28.0,2.84,3.75,5.69,23.11
2022-08-25 09:51:55,19.4,3.76,80.25,28.14,26.29,2.69,3.65,4.72,22.99
2022-08-25 09:46:53,19.34,0.0,80.73,21.69,34.72,2.5,3.32,4.15,22.83
2022-08-25 09:41:54,19.26,3.97,81.63,26.1,28.08,2.6,3.42,4.46,22.56
2022-08-25 09:36:53,19.13,3.1,82.15,26.32,26.37,3.12,3.76,4.26,22.32
2022-08-25 09:31:55,19.12,1.58,83.28,26.01,26.5,2.85,3.52,4.31,22.09
2022-08-25 09:26:55,19.1,0.36,83.83,26.47,29.28,3.72,4.42,5.16,21.97
2022-08-25 09:21:52,19.13,2.78,84.68,25.33,30.84,2.75,3.43,4.24,21.82
2022-08-25 09:16:55,19.14,3.78,85.58,27.15,25.85,2.7,3.52,4.42,21.67
2022-08-25 09:11:53,19.05,6.57,85.91,32.5,22.01,2.68,3.48,4.14,21.51
2022-08-25 09:06:55,18.96,6.37,85.77,33.34,22.7,2.71,3.54,4.39,21.44
2022-08-25 09:01:55,19.07,8.53,86.82,30.62,26.42,2.55,3.28,3.91,21.36
2022-08-25 08:56:53,19.21,7.59,88.43,32.49,22.79,3.5,4.03,4.76,21.2
2022-08-25 08:51:55,19.14,11.19,88.6,33.09,22.32,4.02,4.57,5.28,21.1
2022-08-25 08:46:53,18.94,7.53,87.93,30.97,30.72,3.91,4.47,5.21,21.02
2022-08-25 08:41:54,18.96,9.43,88.73,31.21,29.9,3.92,4.43,4.83,20.89
