,Dew Point (C),H2S (ppb),NO2 (ppb),Humidity (%),O3 (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temp (C),windspeed,direction,wind direction
2022-05-13 12:00:00,11.56,1.14,34.93,4.54,39.7,9.15,10.55,14.87,28.57,1.46,68.0,E
2022-05-13 13:00:00,12.77,2.72,36.15,3.82,51.9,7.78,8.97,12.94,29.34,2.98,72.62,E
2022-05-13 14:00:00,12.2,3.2,34.29,3.59,52.35,5.68,6.6,10.07,29.66,5.81,71.18,E
2022-05-13 15:00:00,9.27,0.06,28.25,0.77,56.88,4.8,5.75,10.22,29.59,6.98,57.97,NE
2022-05-13 16:00:00,9.24,0.31,27.71,1.52,61.56,4.71,5.58,9.32,29.88,6.23,56.73,NE
2022-05-13 17:00:00,9.46,4.41,28.29,4.2,60.63,4.46,5.24,7.84,29.78,5.65,52.05,NE
2022-05-13 18:00:00,8.72,8.58,28.57,7.86,57.16,4.28,5.02,7.65,28.75,5.29,53.52,NE
2022-05-13 19:00:00,9.69,23.16,34.48,21.65,45.49,5.37,6.24,9.25,26.77,4.09,65.13,NE
2022-05-13 20:00:00,9.66,21.88,37.86,23.49,37.03,6.3,7.32,11.0,25.03,2.02,206.38,SW
2022-05-13 21:00:00,10.14,24.14,40.15,31.35,20.2,8.24,9.47,12.98,24.62,1.08,184.17,S
2022-05-13 22:00:00,12.98,37.89,50.58,33.42,19.26,9.84,11.26,15.61,23.94,0.92,131.65,SE
2022-05-13 23:00:00,13.56,26.51,58.38,24.63,35.42,7.96,9.1,13.42,22.11,1.76,111.63,E
2022-05-14 00:00:00,11.74,9.34,52.95,15.48,35.52,7.56,8.53,11.2,21.77,0.92,107.68,E
2022-05-14 01:00:00,11.42,8.08,53.52,16.81,35.07,7.52,8.41,10.5,21.25,0.95,191.03,S
2022-05-14 02:00:00,11.73,13.36,58.18,30.05,13.71,7.4,8.27,10.05,20.22,0.45,263.72,CALM
