Datetime,H2S (ppb)
2022-06-25 08:00:00,1.03
2022-06-25 09:00:00,0.17
2022-06-25 10:00:00,0.19
2022-06-25 11:00:00,0.0
2022-06-25 12:00:00,0.74
2022-06-25 13:00:00,0.99
2022-06-25 14:00:00,17.84
2022-06-25 15:00:00,14.15
2022-06-25 16:00:00,21.88
2022-06-25 17:00:00,19.55
2022-06-25 18:00:00,18.28
2022-06-25 19:00:00,16.21
2022-06-25 20:00:00,12.88
2022-06-25 21:00:00,16.14
2022-06-25 22:00:00,16.9
2022-06-25 23:00:00,9.93
2022-06-26 00:00:00,6.04
2022-06-26 01:00:00,0.9
2022-06-26 02:00:00,0.38
2022-06-26 03:00:00,4.52
2022-06-26 04:00:00,0.96
2022-06-26 05:00:00,4.56
2022-06-26 06:00:00,7.48
2022-06-26 07:00:00,10.52
2022-06-26 08:00:00,5.11
2022-06-26 09:00:00,0.0
2022-06-26 10:00:00,0.11
2022-06-26 11:00:00,0.0
2022-06-26 12:00:00,7.37
2022-06-26 13:00:00,1.57
2022-06-26 14:00:00,1.2
2022-06-26 15:00:00,14.43
2022-06-26 16:00:00,43.73
2022-06-26 17:00:00,30.66
2022-06-26 18:00:00,31.1
2022-06-26 19:00:00,34.04
2022-06-26 20:00:00,30.57
2022-06-26 21:00:00,32.35
2022-06-26 22:00:00,23.73
2022-06-26 23:00:00,11.78
2022-06-27 00:00:00,1.32
2022-06-27 01:00:00,4.99
2022-06-27 02:00:00,13.11
2022-06-27 03:00:00,12.6
2022-06-27 04:00:00,6.24
2022-06-27 05:00:00,6.45
2022-06-27 06:00:00,6.57
2022-06-27 07:00:00,1.7
2022-06-27 08:00:00,1.92
2022-06-27 09:00:00,5.78
2022-06-27 10:00:00,6.37
2022-06-27 11:00:00,0.32
2022-06-27 12:00:00,0.0
2022-06-27 13:00:00,2.08
2022-06-27 14:00:00,0.73
2022-06-27 15:00:00,3.14
2022-06-27 16:00:00,5.8
2022-06-27 17:00:00,16.89
2022-06-27 18:00:00,22.93
2022-06-27 19:00:00,37.44
2022-06-27 20:00:00,34.43
2022-06-27 21:00:00,30.58
2022-06-27 22:00:00,27.27
2022-06-27 23:00:00,20.64
