,Dew Point (C),H2S (ppb),NO2 (ppb),Humidity (%),O3 (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temp (C)
count,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0
mean,14.28369087837839,11.181221846846855,50.901368243243226,20.848181306306337,38.52550394144147,6.664276463963962,7.894107545045033,11.339929617117118,26.10346283783781
std,4.449161632479797,12.027537919394588,16.049244569112375,14.588036254424956,21.950933709213,3.6905871248309587,4.129005946625716,5.474102025258172,6.7982294522520625
min,0.15,0.0,14.48,0.0,0.0,0.66,0.78,1.24,7.77
25%,11.2775,1.03,37.9275,8.887500000000001,20.8675,3.92,4.8,7.43,21.855
50%,15.36,7.605,49.980000000000004,19.32,41.94,6.03,7.225,10.43,26.45
75%,17.71,17.56,62.8875,30.3325,56.0725,8.7325,10.3525,14.1725,31.0425
max,22.24,75.79,95.09,77.45,84.76,27.45,29.79,43.57,40.99
kurtosis,-0.24667267022807238,2.5245573507943155,-0.6875330295204334,-0.09834266840330086,-1.0356224228818722,1.3762332107931177,1.11970491174475,1.900656337552713,-0.31076565302221315
skew,-0.7003254562429309,1.4438950552590777,0.23020582295234188,0.6104031526581222,-0.2481804265714342,1.039884808567045,0.9540729970418078,1.107570236137617,-0.3073369545481515
