,MAE,MSE,MAPE,R2
2022-05-09,9.52,111.26,0.15,0.15
2022-05-16,3.6,18.0,0.08,0.85
2022-05-23,3.69,23.08,0.15,0.88
2022-05-30,7.32,76.27,0.13,0.08
2022-06-06,1.7,5.46,0.04,0.97
2022-06-13,5.94,50.22,0.09,0.55
2022-06-20,3.47,16.82,0.06,0.85
2022-06-27,7.59,90.29,0.16,-0.68
2022-07-04,3.93,19.0,0.09,0.85
2022-07-11,4.23,29.68,0.5,0.87
2022-07-18,1.48,3.34,0.04,0.94
2022-07-25,5.14,33.53,0.13,0.54
2022-08-01,2.57,9.42,0.06,0.84
2022-08-08,0.89,1.41,0.02,0.98
2022-08-15,2.95,13.65,0.08,0.7
2022-08-22,7.87,75.01,0.18,-0.54
2022-08-29,6.42,65.63,0.09,-0.76
