day,month,year,hour,minute,temperature,humidity,dewpoint,barometer,windspeed,gustspeed,direction,rainlastmin,dailyrain,monthlyrain,yearlyrain,heatindex
1,6,2022,0,0,24.5,64,17.2,1016.6,1.2,2.6,250,0.0,0.0,13.0,13.0,25.5
1,6,2022,0,1,24.5,64,17.2,1016.6,1.1,2.6,245,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,2,24.5,64,17.2,1016.6,1.1,2.6,243,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,3,24.5,64,17.2,1016.5,1.2,1.7,231,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,4,24.4,65,17.4,1016.5,0.6,1.7,232,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,5,24.4,64,17.2,1016.5,0.9,1.7,237,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,6,24.4,65,17.4,1016.5,1.1,1.7,241,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,7,24.4,65,17.4,1016.4,0.9,1.7,241,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,8,24.4,65,17.4,1016.4,1.0,1.7,223,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,9,24.4,65,17.4,1016.3,1.6,3.5,227,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,10,24.4,65,17.4,1016.4,2.6,3.5,233,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,11,24.3,64,17.1,1016.4,2.9,3.5,229,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,12,24.2,64,17.0,1016.4,1.4,1.7,231,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,13,24.2,64,17.0,1016.4,1.4,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,14,24.2,64,17.0,1016.4,1.1,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,15,24.2,64,16.9,1016.4,0.3,0.9,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,16,24.2,64,16.9,1016.3,0.3,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,17,24.2,64,16.9,1016.4,0.7,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,18,24.1,64,16.9,1016.4,0.5,0.9,234,0.0,0.0,0.0,13.0,25.2
1,6,2022,0,19,24.1,64,16.9,1016.4,0.6,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,20,24.1,63,16.7,1016.4,0.9,0.9,234,0.0,0.0,0.0,13.0,25.2
1,6,2022,0,21,24.1,64,16.9,1016.4,0.5,1.7,234,0.0,0.0,0.0,13.0,25.2
1,6,2022,0,22,24.1,64,16.9,1016.4,0.6,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,23,24.2,64,16.9,1016.4,0.1,0.9,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,24,24.2,64,16.9,1016.4,0.6,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,25,24.2,64,16.9,1016.4,1.0,1.7,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,26,24.2,64,16.9,1016.4,0.4,0.9,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,27,24.2,64,16.9,1016.3,0.3,0.9,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,28,24.2,64,16.9,1016.4,0.3,0.9,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,29,24.2,64,16.9,1016.4,0.0,0.0,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,30,24.2,64,16.9,1016.4,0.0,0.0,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,31,24.2,64,16.9,1016.5,0.0,0.0,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,32,24.2,64,16.9,1016.5,0.0,0.0,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,33,24.2,64,17.0,1016.5,0.0,0.0,234,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,34,24.2,64,17.0,1016.5,0.0,0.9,232,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,35,24.2,64,17.0,1016.5,0.2,0.9,189,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,36,24.2,64,17.0,1016.5,0.4,0.9,181,0.0,0.0,0.0,13.0,25.3
1,6,2022,0,37,24.2,64,17.0,1016.5,0.3,0.9,177,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,38,24.3,64,17.0,1016.5,0.1,0.9,179,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,39,24.3,64,17.0,1016.5,0.1,0.9,181,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,40,24.3,64,17.0,1016.5,0.1,0.9,181,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,41,24.3,64,17.1,1016.4,0.1,0.9,188,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,42,24.3,64,17.1,1016.3,0.4,1.7,209,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,43,24.3,64,17.1,1016.3,0.7,0.9,209,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,44,24.3,64,17.1,1016.3,0.2,0.9,209,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,45,24.3,64,17.1,1016.3,0.0,0.0,209,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,46,24.3,64,17.1,1016.3,0.0,0.9,209,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,47,24.3,64,17.1,1016.3,0.1,0.9,209,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,48,24.3,64,17.1,1016.3,0.3,0.9,170,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,49,24.3,64,17.1,1016.3,0.4,2.6,60,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,50,24.4,64,17.1,1016.3,1.1,2.6,54,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,51,24.4,65,17.4,1016.2,0.9,1.7,27,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,52,24.4,64,17.1,1016.3,0.9,1.7,10,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,53,24.4,65,17.4,1016.2,0.9,1.7,10,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,54,24.4,65,17.4,1016.2,0.4,0.9,354,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,55,24.4,65,17.4,1016.2,0.5,1.7,287,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,56,24.4,64,17.1,1016.2,1.0,2.6,253,0.0,0.0,0.0,13.0,25.5
1,6,2022,0,57,24.4,64,17.1,1016.1,1.2,2.6,250,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,58,24.4,64,17.1,1016.2,1.1,2.6,238,0.0,0.0,0.0,13.0,25.4
1,6,2022,0,59,24.3,64,17.1,1016.2,1.7,2.6,241,0.0,0.0,0.0,13.0,25.4
1,6,2022,1,0,24.3,63,16.8,1016.3,1.9,2.6,241,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,1,24.2,64,17.0,1016.2,1.0,1.7,241,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,2,24.2,64,16.9,1016.2,0.2,0.0,241,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,3,24.1,64,16.9,1016.3,0.1,0.9,236,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,4,24.1,64,16.8,1016.3,0.7,1.7,132,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,5,24.1,65,17.1,1016.3,1.6,4.3,95,0.0,0.0,0.0,13.0,25.1
1,6,2022,1,6,24.1,67,17.5,1016.4,1.5,1.7,120,0.0,0.0,0.0,13.0,25.1
1,6,2022,1,7,24.1,67,17.5,1016.3,1.4,1.7,91,0.0,0.0,0.0,13.0,25.1
1,6,2022,1,8,24.1,68,17.8,1016.4,1.4,2.6,112,0.0,0.0,0.0,13.0,25.1
1,6,2022,1,9,24.1,68,17.9,1016.4,1.3,2.6,127,0.0,0.0,0.0,13.0,25.1
1,6,2022,1,10,24.1,69,18.1,1016.4,1.6,2.6,111,0.0,0.0,0.0,13.0,25.1
1,6,2022,1,11,24.2,69,18.1,1016.4,1.6,3.5,89,0.0,0.0,0.0,13.0,25.1
1,6,2022,1,12,24.2,69,18.1,1016.3,0.6,0.9,64,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,13,24.2,69,18.2,1016.3,0.1,0.9,68,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,14,24.2,69,18.2,1016.3,0.5,1.7,94,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,15,24.3,68,18.0,1016.3,0.8,1.7,98,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,16,24.3,68,18.0,1016.3,0.4,0.9,130,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,17,24.2,68,18.0,1016.3,0.2,1.7,129,0.0,0.0,0.0,13.0,25.2
1,6,2022,1,18,24.3,68,18.0,1016.3,1.0,2.6,124,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,19,24.3,67,17.7,1016.3,0.4,1.7,108,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,20,24.3,68,18.0,1016.3,0.6,2.6,121,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,21,24.3,67,17.8,1016.3,1.3,1.7,123,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,22,24.3,67,17.8,1016.3,1.2,2.6,138,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,23,24.3,67,17.8,1016.3,1.9,3.5,123,0.0,0.0,0.0,13.0,25.3
1,6,2022,1,24,24.3,67,17.8,1016.3,2.1,2.6,125,0.0,0.0,0.0,13.0,25.3
