,temperature,humidity,dewpoint,windspeed,gustspeed,direction,rainlastmin
2022-05-13 12:00:00,22.42,66.6,15.66,1.46,3.98,68.0,0.0
2022-05-13 13:00:00,24.15,53.52,14.11,2.98,5.46,72.62,0.0
2022-05-13 14:00:00,25.32,48.15,13.48,5.81,9.83,71.18,0.0
2022-05-13 15:00:00,25.94,38.98,10.9,6.98,10.83,57.97,0.0
2022-05-13 16:00:00,26.22,38.72,11.06,6.23,9.76,56.73,0.0
2022-05-13 17:00:00,26.27,38.78,11.12,5.66,9.17,52.05,0.0
2022-05-13 18:00:00,25.95,37.97,10.51,5.29,8.44,53.52,0.0
2022-05-13 19:00:00,24.79,43.58,11.49,4.09,6.62,65.13,0.0
2022-05-13 20:00:00,23.62,45.98,11.32,2.02,3.37,206.38,0.0
2022-05-13 21:00:00,23.52,48.25,11.93,1.08,1.99,184.17,0.0
2022-05-13 22:00:00,22.68,59.68,14.38,0.92,2.11,131.65,0.0
2022-05-13 23:00:00,21.11,65.35,14.36,1.76,3.52,111.63,0.0
2022-05-14 00:00:00,20.9,60.15,12.88,0.92,1.72,107.68,0.0
2022-05-14 01:00:00,20.36,61.25,12.64,0.94,1.6,191.03,0.0
2022-05-14 02:00:00,19.17,66.1,12.68,0.45,1.22,263.72,0.0
2022-05-14 03:00:00,18.67,64.67,11.86,0.13,0.47,244.0,0.0
2022-05-14 04:00:00,18.78,61.85,11.3,0.36,0.9,244.0,0.0
2022-05-14 05:00:00,18.24,66.43,11.88,0.62,1.31,250.87,0.0
2022-05-14 06:00:00,17.56,64.93,10.9,0.84,1.43,253.83,0.0
2022-05-14 07:00:00,18.4,62.92,11.19,0.65,1.47,249.87,0.0
2022-05-14 08:00:00,20.12,60.32,12.16,1.14,2.08,113.77,0.0
2022-05-14 09:00:00,20.85,59.58,12.67,1.71,3.07,64.63,0.0
2022-05-14 10:00:00,21.83,55.77,12.58,1.89,3.25,71.85,0.0
2022-05-14 11:00:00,23.13,53.75,13.23,2.51,4.34,60.62,0.0
2022-05-14 12:00:00,23.62,52.53,13.33,2.91,5.11,69.22,0.0
2022-05-14 13:00:00,24.28,54.65,14.56,3.46,5.96,73.27,0.0
2022-05-14 14:00:00,25.15,53.8,15.13,4.11,6.79,74.73,0.0
2022-05-14 15:00:00,25.2,51.03,14.32,3.34,5.58,83.75,0.0
2022-05-14 16:00:00,25.65,47.85,13.77,4.83,7.45,74.45,0.0
2022-05-14 17:00:00,23.54,62.07,15.45,2.6,4.93,171.78,0.12
2022-05-14 18:00:00,20.85,85.67,18.35,0.57,1.22,256.47,0.0
2022-05-14 19:00:00,21.48,79.68,17.81,0.5,1.07,194.43,0.0
2022-05-14 20:00:00,20.66,80.8,17.24,0.91,1.7,214.17,0.0
2022-05-14 21:00:00,19.61,76.02,15.27,1.2,2.28,251.95,0.0
2022-05-14 22:00:00,19.09,76.65,14.89,0.61,1.21,261.52,0.0
2022-05-14 23:00:00,18.74,79.37,15.09,0.48,1.12,250.02,0.0
2022-05-15 00:00:00,18.26,79.45,14.65,0.74,1.34,243.73,0.0
2022-05-15 01:00:00,18.18,78.83,14.45,0.9,1.57,254.0,0.0
2022-05-15 02:00:00,17.71,78.85,13.99,0.56,1.06,244.83,0.0
2022-05-15 03:00:00,17.6,78.77,13.86,0.84,1.31,243.35,0.0
2022-05-15 04:00:00,17.3,81.68,14.14,1.23,1.9,241.83,0.0
2022-05-15 05:00:00,17.32,83.08,14.42,0.54,1.1,237.1,0.0
2022-05-15 06:00:00,17.31,83.68,14.51,0.72,1.31,239.5,0.0
2022-05-15 07:00:00,18.27,82.17,15.18,0.32,0.8,233.67,0.0
2022-05-15 08:00:00,21.13,68.85,15.15,1.41,2.9,134.78,0.0
2022-05-15 09:00:00,23.65,58.15,14.93,1.59,3.25,133.62,0.0
2022-05-15 10:00:00,25.38,54.05,15.4,1.91,3.66,137.43,0.0
2022-05-15 11:00:00,26.44,50.1,15.2,2.91,4.99,94.07,0.0
2022-05-15 12:00:00,26.87,47.47,14.75,2.31,4.29,72.18,0.0
2022-05-15 13:00:00,27.46,43.92,14.08,2.19,3.54,76.38,0.0
2022-05-15 14:00:00,28.51,40.22,13.66,2.3,3.7,114.3,0.0
2022-05-15 15:00:00,28.92,37.67,13.03,3.71,5.87,56.6,0.0
2022-05-15 16:00:00,28.96,35.88,12.32,4.06,6.66,50.32,0.0
2022-05-15 17:00:00,28.37,43.83,14.78,4.49,7.8,54.93,0.0
2022-05-15 18:00:00,27.36,47.0,15.05,3.76,6.22,73.58,0.0
2022-05-15 19:00:00,26.68,48.22,14.82,3.09,4.99,242.5,0.0
2022-05-15 20:00:00,25.49,52.35,15.01,2.06,3.2,227.55,0.0
2022-05-15 21:00:00,23.98,58.53,15.34,1.14,1.95,217.48,0.0
