day,month,year,hour,minute,temperature,humidity,dewpoint,barometer,windspeed,gustspeed,direction,rainlastmin,dailyrain,monthlyrain,yearlyrain,heatindex
1,7,2022,0,0,27.3,57,18.1,1013.8,0.8,1.7,235,0.0,0.0,102.4,115.4,28.3
1,7,2022,0,1,27.3,57,18.1,1013.9,0.6,1.7,245,0.0,0.0,0.0,115.4,28.3
1,7,2022,0,2,27.3,57,18.1,1013.9,0.6,1.7,245,0.0,0.0,0.0,115.4,28.3
1,7,2022,0,3,27.3,57,18.1,1013.9,0.5,0.9,317,0.0,0.0,0.0,115.4,28.3
1,7,2022,0,4,27.3,57,18.1,1013.9,0.2,0.9,329,0.0,0.0,0.0,115.4,28.3
1,7,2022,0,5,27.3,57,18.1,1013.9,0.5,0.9,272,0.0,0.0,0.0,115.4,28.2
1,7,2022,0,6,27.3,57,18.1,1013.9,0.2,1.7,259,0.0,0.0,0.0,115.4,28.2
1,7,2022,0,7,27.3,57,18.0,1013.9,0.7,1.7,319,0.0,0.0,0.0,115.4,28.2
1,7,2022,0,8,27.2,57,18.0,1013.9,0.6,1.7,335,0.0,0.0,0.0,115.4,28.2
1,7,2022,0,9,27.2,57,18.0,1013.9,0.9,0.9,275,0.0,0.0,0.0,115.4,28.1
1,7,2022,0,10,27.2,56,17.7,1013.9,0.5,1.7,238,0.0,0.0,0.0,115.4,28.1
1,7,2022,0,11,27.2,57,18.0,1014.0,1.1,1.7,239,0.0,0.0,0.0,115.4,28.1
1,7,2022,0,12,27.2,57,17.9,1014.0,0.1,0.0,239,0.0,0.0,0.0,115.4,28.1
1,7,2022,0,13,27.2,57,17.9,1014.0,0.1,0.0,239,0.0,0.0,0.0,115.4,28.1
1,7,2022,0,14,27.2,57,17.9,1014.0,0.0,0.0,239,0.0,0.0,0.0,115.4,28.0
1,7,2022,0,15,27.2,56,17.6,1014.0,0.0,0.0,239,0.0,0.0,0.0,115.4,28.1
1,7,2022,0,16,27.2,57,17.9,1014.0,0.0,0.9,321,0.0,0.0,0.0,115.4,28.1
1,7,2022,0,17,27.2,57,17.9,1014.0,0.4,1.7,339,0.0,0.0,0.0,115.4,28.0
1,7,2022,0,18,27.2,56,17.6,1014.0,0.9,0.9,339,0.0,0.0,0.0,115.4,28.0
1,7,2022,0,19,27.2,56,17.6,1014.0,0.7,1.7,335,0.0,0.0,0.0,115.4,28.0
1,7,2022,0,20,27.2,56,17.6,1014.0,1.6,3.5,314,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,21,27.1,55,17.3,1014.0,1.8,1.7,312,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,22,27.1,55,17.3,1014.0,1.4,1.7,313,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,23,27.1,55,17.3,1014.0,0.8,0.9,313,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,24,27.1,55,17.2,1014.0,0.2,0.9,295,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,25,27.1,55,17.2,1013.9,0.3,0.9,260,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,26,27.1,55,17.3,1014.0,0.5,1.7,260,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,27,27.1,55,17.2,1014.0,0.3,0.9,260,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,28,27.1,55,17.3,1014.0,0.1,1.7,256,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,29,27.1,56,17.5,1014.0,0.7,1.7,256,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,30,27.1,56,17.5,1014.0,0.8,1.7,254,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,31,27.1,56,17.6,1014.1,1.4,2.6,280,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,32,27.1,56,17.6,1014.1,1.0,0.9,293,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,33,27.1,56,17.6,1014.1,0.2,0.9,264,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,34,27.1,56,17.5,1014.1,0.3,0.9,239,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,35,27.1,55,17.2,1014.1,0.9,2.6,231,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,36,27.1,55,17.3,1014.0,1.9,2.6,229,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,37,27.1,55,17.2,1014.0,1.7,2.6,240,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,38,27.1,55,17.2,1014.1,1.1,1.7,244,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,39,27.1,55,17.2,1014.1,1.3,1.7,244,0.0,0.0,0.0,115.4,27.8
1,7,2022,0,40,27.1,55,17.2,1014.1,0.9,1.7,244,0.0,0.0,0.0,115.4,27.9
1,7,2022,0,41,27.1,56,17.5,1014.0,0.5,0.9,244,0.0,0.0,0.0,115.4,27.9
