,windspeed,direction
2022-05-13 12:00:00,1.46,68.0
2022-05-13 13:00:00,2.98,72.62
2022-05-13 14:00:00,5.81,71.18
2022-05-13 15:00:00,6.98,57.97
2022-05-13 16:00:00,6.23,56.73
2022-05-13 17:00:00,5.65,52.05
2022-05-13 18:00:00,5.29,53.52
2022-05-13 19:00:00,4.09,65.13
2022-05-13 20:00:00,2.02,206.38
2022-05-13 21:00:00,1.08,184.17
2022-05-13 22:00:00,0.92,131.65
2022-05-13 23:00:00,1.76,111.63
2022-05-14 00:00:00,0.92,107.68
2022-05-14 01:00:00,0.95,191.03
2022-05-14 02:00:00,0.45,263.72
2022-05-14 03:00:00,0.13,244.0
2022-05-14 04:00:00,0.36,244.0
2022-05-14 05:00:00,0.62,250.87
2022-05-14 06:00:00,0.84,253.83
2022-05-14 07:00:00,0.65,249.87
2022-05-14 08:00:00,1.14,113.77
2022-05-14 09:00:00,1.71,64.63
2022-05-14 10:00:00,1.89,71.85
2022-05-14 11:00:00,2.51,60.62
2022-05-14 12:00:00,2.91,69.22
2022-05-14 13:00:00,3.46,73.27
2022-05-14 14:00:00,4.11,74.73
2022-05-14 15:00:00,3.34,83.75
2022-05-14 16:00:00,4.83,74.45
2022-05-14 17:00:00,2.6,171.78
2022-05-14 18:00:00,0.57,256.47
2022-05-14 19:00:00,0.5,194.43
2022-05-14 20:00:00,0.91,214.17
2022-05-14 21:00:00,1.2,251.95
2022-05-14 22:00:00,0.61,261.52
2022-05-14 23:00:00,0.48,250.02
2022-05-15 00:00:00,0.74,243.73
2022-05-15 01:00:00,0.9,254.0
2022-05-15 02:00:00,0.57,244.83
2022-05-15 03:00:00,0.84,243.35
2022-05-15 04:00:00,1.23,241.83
2022-05-15 05:00:00,0.54,237.1
2022-05-15 06:00:00,0.72,239.5
2022-05-15 07:00:00,0.32,233.67
2022-05-15 08:00:00,1.41,134.78
2022-05-15 09:00:00,1.59,133.62
2022-05-15 10:00:00,1.91,137.43
2022-05-15 11:00:00,2.91,94.07
2022-05-15 12:00:00,2.31,72.18
2022-05-15 13:00:00,2.19,76.38
2022-05-15 14:00:00,2.3,114.3
2022-05-15 15:00:00,3.71,56.6
2022-05-15 16:00:00,4.06,50.32
2022-05-15 17:00:00,4.49,54.93
2022-05-15 18:00:00,3.76,73.58
2022-05-15 19:00:00,3.09,242.5
2022-05-15 20:00:00,2.05,227.55
2022-05-15 21:00:00,1.14,217.48
2022-05-15 22:00:00,0.89,270.45
